artifact_type,machine,descriptor_id,model,seed,train_precision,checkpoint_role,source_path,mirror_path,sha256,mirror_sha256,hash_kind,mirror_status
checkpoint,2080ti,2080ti-flash-s125-fp16,flash,125,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/2080ti/checkpoints/formal/20260726-01-mqar-precision-profile-2080ti-formal/flash-s125-fp16-b64ga4-formal/best.pt,,e02bc4794733d23a56174a2a3c2284e22d8361743a469b4bc5b54cf14149ac32,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-fp32,gdn,123,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-fp32-b64ga4-formal/last.pt,,7881961def366caef2a5804a496a651c2d4e51ea733ca173c4a4382d5ad41442,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-fp32,gdn,123,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-fp32-b64ga4-formal/best.pt,,607865f1ed6773668856509c71fde8d91297c72866acfef8eb558b82e469d5e0,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-fp32,flash,123,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-fp32-b64ga4-formal/last.pt,,f5aa2e85380261a7bf9a7bb891e176904d4feeffa7c541e937a150f706e993fa,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-fp32,flash,123,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-fp32-b64ga4-formal/best.pt,,755c223e33bc1686931a9c33573d94b1072fbfefe2992cc27eb66d480b942b04,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-fp32,gdn,124,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-fp32-b64ga4-formal/last.pt,,fda39c7218599a9187df2547866ef05275bbb9fffe0494c0777440ca618ab0e6,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-fp32,gdn,124,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-fp32-b64ga4-formal/best.pt,,1cd769dc4d4954faebe9601483eaa809b45642bd6aa92e04fd26ee053e6901d2,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s124-fp32,flash,124,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s124-fp32-b64ga4-formal/last.pt,,09e062406154220dde661a33fbbb212789ab578f22b383824ccc2742b5729730,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s124-fp32,flash,124,fp32,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s124-fp32-b64ga4-formal/best.pt,,4941da1202b6aaff887d8feb272945fac66b7afdc0c997c62b18a80b7c66030e,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s125-fp32,gdn,125,fp32,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s125-fp32-b64ga4-formal/last.pt,,440f007d05071824f5206073e7b8aacf1b62c4911a3c5839fe5912c186690832,,file_sha256,large_raw_retained_on_source_machine
