source_machine,accuracy,checkpoint_role,dataset_hash,eval_precision,event_id,logical_source_id,loss,machine,model,num_examples,peak_allocated_mib,seed,shape,status,train_precision,wall_clock_sec
2080ti,0.480859375,best,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-2048x512-n500-b32-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,4.091834707260132,2080ti,gdn,500,,123,2048x512,deduplicated,fp32,
2080ti,0.075873046875,best,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,fp16,formal-deferred-2080ti-gdn-s123-fp32-last-evalfp16-4096x1024-n500-b16-c21cb50d4f9001c6-ze56fa9ab-f9a8bf707,2080ti-gdn-s123-fp32-best,7.2680371541976925,2080ti,gdn,500,,123,4096x1024,deduplicated,fp32,
2080ti,0.99975,last,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-64x4-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.00288656819332391,2080ti,flash,1000,768.2705078125,123,64x4,completed,fp32,9.27563560497947
2080ti,0.999875,last,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-64x8-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.003735803378862329,2080ti,flash,1000,773.54833984375,123,64x8,completed,fp32,9.039474355988204
2080ti,0.9999375,last,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-64x16-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.0050462718878407035,2080ti,flash,1000,786.49462890625,123,64x16,completed,fp32,9.282114000059664
2080ti,0.99659375,last,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-128x32-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.024063924976391718,2080ti,flash,1000,1249.1357421875,123,128x32,completed,fp32,9.257345943013206
2080ti,0.99871875,last,b5a14d15ac1321e868ed153a60a440ab1170bf0bf9dbab035adeabc115b1a47d,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-256x64-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.02060148544702679,2080ti,flash,1000,2153.6865234375,123,256x64,completed,fp32,9.469854976981878
2080ti,0.995203125,last,bdc202e48037c839a7c56b7e1f7c9c7d6f368d38e006a46d739da726c94fd649,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-512x64-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.044267746983561666,2080ti,flash,1000,4195.34619140625,123,512x64,completed,fp32,10.07793915597722
2080ti,0.9983203125,last,042872131264d4b41ea03a6cdbf7733e3e4301ca773349ec9434d827bd9c4a5e,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-512x128-n1000-b128-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.06761321561411023,2080ti,flash,1000,4195.34619140625,123,512x128,completed,fp32,10.08862569811754
2080ti,0.9766015625,last,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,fp32,formal-2080ti-flash-s123-fp32-last-evalfp32-1024x256-n1000-b64-029f73aaa369d146-ze56fa9ab-f9a8bf707,2080ti-flash-s123-fp32-last,0.37899166336655615,2080ti,flash,1000,4194.34716796875,123,1024x256,completed,fp32,11.466791655868292
