target,machine,train_step,layer_idx,records,update_norm_max,update_norm_p95,actual_cap_hit_ratio,actual_cap_scale_min,hypothetical_cap_hit_ratio,hypothetical_cap_scale_min
ucap0p5-r2,2080ti,16,1,256,0.25057029724121094,0.2169622778892517,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,24,1,256,0.29181042313575745,0.24082688987255096,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,32,1,256,0.36203667521476746,0.30096378922462463,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,48,1,256,0.6025961637496948,0.4673154056072235,0.0234375,0.8297431156786151,0.0234375,0.829743085134689
ucap0p5-r2,2080ti,64,1,256,0.5938622355461121,0.3772343099117279,0.00390625,0.8419460917765651,0.00390625,0.8419461115256859
ucap0p5-r2,2080ti,96,1,256,0.5222616791725159,0.44064056873321533,0.01171875,0.9573744450341846,0.01171875,0.9573744732568015
ucap0p5-r2,2080ti,128,1,256,0.5151196122169495,0.39668387174606323,0.00390625,0.9706483467026712,0.00390625,0.9706483467948768
ucap0p5-r2,2080ti,192,1,256,1.1736143827438354,0.619322657585144,0.15625,0.4260342774760443,0.15625,0.4260343153183177
ucap0p5-r2,2080ti,256,1,256,0.8663365244865417,0.6165981292724609,0.48046875,0.5771429759541913,0.48046875,0.5771429298751299
ucap0p5-r2,2080ti,384,1,256,2.4678955078125,2.2251930236816406,1.0,0.20260177111038247,1.0,0.20260177078696145
ucap0p5-r2,2080ti,512,1,256,0.35761967301368713,0.28193360567092896,0.0,1.0,0.0,1.0
ucap0p5-r2,2080ti,703,1,192,0.7231005430221558,0.5779162049293518,0.5416666666666666,0.6914667484977668,0.5416666666666666,0.6914667743302746
ucap0p5-r2,3090,0,1,256,0.2233160138130188,0.1840309351682663,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,1,1,256,0.21251842379570007,0.19132694602012634,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,2,1,256,0.2134978324174881,0.19349083304405212,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,4,1,256,0.23619145154953003,0.20241603255271912,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,8,1,256,0.248381569981575,0.20571191608905792,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,16,1,256,0.26838985085487366,0.21887119114398956,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,24,1,256,0.2863815128803253,0.2452394813299179,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,32,1,256,0.34107333421707153,0.30265969038009644,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,48,1,256,0.6132751107215881,0.5450356006622314,0.21484375,0.8152948040913494,0.21484375,0.8152947857474486
ucap0p5-r2,3090,64,1,256,0.47055840492248535,0.396516352891922,0.0,1.0,0.0,1.0
ucap0p5-r2,3090,96,1,256,0.5755378007888794,0.47525715827941895,0.01953125,0.8687526302702973,0.01953125,0.8687526680517924
ucap0p5-r2,3090,128,1,256,0.5544969439506531,0.36244794726371765,0.0078125,0.901718192362984,0.0078125,0.9017182248789761
ucap0p5-r2,3090,192,1,256,1.6896661520004272,1.0350009202957153,1.0,0.2959164291100756,1.0,0.2959164444455733
ucap0p5-r2,3090,256,1,256,1.988153338432312,1.1408122777938843,1.0,0.2514896690616263,1.0,0.2514896564237129
ucap0p5-r2,3090,384,1,256,2.5376577377319336,2.2320022583007812,1.0,0.1970320949014657,1.0,0.19703208693812344
ucap0p5-r2,3090,512,1,256,1.2049837112426758,0.9811737537384033,1.0,0.4149433502113589,1.0,0.41494336839156104
ucap0p5-r2,3090,703,1,192,3.9786245822906494,3.4104464054107666,1.0,0.1256715678747759,1.0,0.12567157057882813
