target,machine,layer_idx,head_idx,code_idx,records,share_of_target_machine_events,update_norm_max,update_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio
baseline-r2,2080ti,1,1,17,4,0.0009328358208955224,0.1823735386133194,0.1823735386133194,0.0,0.0
baseline-r2,2080ti,1,1,26,4,0.0009328358208955224,0.17228782176971436,0.17228782176971436,0.0,0.0
baseline-r2,2080ti,1,1,37,4,0.0009328358208955224,0.17306193709373474,0.17306193709373474,0.0,0.0
baseline-r2,2080ti,1,1,61,4,0.0009328358208955224,0.17849741876125336,0.17849741876125336,0.0,0.0
baseline-r2,2080ti,1,1,63,4,0.0009328358208955224,0.2175755351781845,0.2175755351781845,0.0,0.0
baseline-r2,2080ti,1,0,3,3,0.0006996268656716418,0.17268787324428558,0.17268787324428558,0.0,0.0
baseline-r2,2080ti,1,0,11,3,0.0006996268656716418,0.18671464920043945,0.18671464920043945,0.0,0.0
baseline-r2,2080ti,1,0,22,3,0.0006996268656716418,0.17274895310401917,0.17274895310401917,0.0,0.0
baseline-r2,2080ti,1,1,1,3,0.0006996268656716418,0.16929005086421967,0.16929005086421967,0.0,0.0
baseline-r2,2080ti,1,1,25,3,0.0006996268656716418,0.19047826528549194,0.19047826528549194,0.0,0.0
baseline-r2,2080ti,1,1,40,3,0.0006996268656716418,0.18350709974765778,0.18350709974765778,0.0,0.0
baseline-r2,2080ti,1,1,45,3,0.0006996268656716418,0.17278505861759186,0.17278505861759186,0.0,0.0
baseline-r2,2080ti,1,0,53,2,0.0004664179104477612,0.16525176167488098,0.16525176167488098,0.0,0.0
baseline-r2,2080ti,1,0,58,2,0.0004664179104477612,0.18363064527511597,0.18363064527511597,0.0,0.0
baseline-r2,2080ti,1,1,3,2,0.0004664179104477612,0.16390177607536316,0.16390177607536316,0.0,0.0
baseline-r2,2080ti,1,1,4,2,0.0004664179104477612,0.16878627240657806,0.16878627240657806,0.0,0.0
baseline-r2,2080ti,1,1,15,2,0.0004664179104477612,0.16311676800251007,0.16311676800251007,0.0,0.0
baseline-r2,2080ti,1,1,16,2,0.0004664179104477612,0.1744554042816162,0.1744554042816162,0.0,0.0
baseline-r2,2080ti,1,1,31,2,0.0004664179104477612,0.16726940870285034,0.16726940870285034,0.0,0.0
baseline-r2,2080ti,1,1,39,2,0.0004664179104477612,0.18498605489730835,0.18498605489730835,0.0,0.0
baseline-r2,2080ti,1,1,59,2,0.0004664179104477612,0.1929074227809906,0.1929074227809906,0.0,0.0
baseline-r2,2080ti,1,1,60,2,0.0004664179104477612,0.18171703815460205,0.18171703815460205,0.0,0.0
baseline-r2,2080ti,1,1,62,2,0.0004664179104477612,0.17408744990825653,0.17408744990825653,0.0,0.0
baseline-r2,2080ti,1,0,2,1,0.0002332089552238806,0.15518155694007874,0.15518155694007874,0.0,0.0
baseline-r2,2080ti,1,0,6,1,0.0002332089552238806,0.14995276927947998,0.14995276927947998,0.0,0.0
