actual_cap_hit,actual_cap_scale,actual_update_norm_cap,addr_d_norm,block_idx,code_idx,epoch_idx,err_norm,event_idx_in_block_pack,event_rank_in_block,global_step,head_idx,hypothetical_cap,hypothetical_cap_hit,hypothetical_cap_scale,layer_idx,micro_step,optimizer_step,raw_topk_mass,run_id,sample_idx,sum_zeta_pack,sum_zeta_uncapped_pack,target_u_norm,token_ell,token_pos,trace_phase,train_batch_idx,update_norm_uncapped,valid_batch_idx,write_q_entropy,write_q_raw_entropy,write_q_raw_top1,write_q_top1,write_top1_mass,zeta_after_update_cap,zeta_before_update_cap,zeta_pack,zeta_uncapped_pack,experiment_id,machine,target,trace_path
False,1.0,,1.0,1,39,0,10.488505363464355,14145,1,703,0,0.5,True,0.13563932360142678,1,0,703,0.8150076866149902,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,55,,,1.9084140062332153,1,33,train_inline,2812,3.686246633529663,,,,,,,0.3514558672904968,0.3514558672904968,0.3514558672904968,0.3514558672904968,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,10.477644920349121,3649,5,703,0,0.5,True,0.135897974910529,1,1,703,0.8144385814666748,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,14,0.2151814103126526,0.2151814103126526,10.477926254272461,1,1,train_inline,2813,3.6792306900024414,,0.25682204961776733,0.25682204961776733,0.9485344290733337,0.9485344290733337,0.9485344886779785,0.3511505424976349,0.3511505424976349,0.3511505424976349,0.3511505424976349,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,1,39,0,11.332157135009766,13633,1,703,0,0.5,True,0.1361123244443781,1,1,703,0.8147428035736084,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,53,,,2.419839859008789,1,33,train_inline,2813,3.6734366416931152,,,,,,,0.3241603970527649,0.3241603970527649,0.3241603970527649,0.3241603970527649,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,10.269089698791504,8513,6,703,0,0.5,True,0.13657071245280936,1,1,703,0.8156070113182068,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,33,,,10.269109725952148,1,1,train_inline,2813,3.661107063293457,,,,,,,0.3565171957015991,0.3565171957015991,0.3565171957015991,0.3565171957015991,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,1,39,0,10.237075805664062,6464,2,703,0,0.5,True,0.13662833272092836,1,2,703,0.814669132232666,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,25,,,1.4858107566833496,0,32,train_inline,2814,3.6595630645751953,,,,,,,0.35748130083084106,0.35748130083084106,0.35748130083084106,0.35748130083084106,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,9.77934741973877,5697,3,703,0,0.5,True,0.13772726553304174,1,2,703,0.8151206970214844,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,22,,,9.779388427734375,1,1,train_inline,2814,3.6303632259368896,,,,,,,0.37122756242752075,0.37122756242752075,0.37122756242752075,0.37122756242752075,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,10.391948699951172,15937,4,703,0,0.5,True,0.1391165538424962,1,0,703,0.8147231936454773,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,62,,,10.392075538635254,1,1,train_inline,2812,3.5941085815429688,,,,,,,0.34585511684417725,0.34585511684417725,0.34585511684417725,0.34585511684417725,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,9.673243522644043,8001,7,703,0,0.5,True,0.13935625002699542,1,1,703,0.8147158622741699,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,31,,,9.673285484313965,1,1,train_inline,2813,3.5879266262054443,,,,,,,0.37091246247291565,0.37091246247291565,0.37091246247291565,0.37091246247291565,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,1.0,1,39,0,11.1695556640625,14915,2,703,0,0.5,True,0.13992514247210258,1,1,703,0.8150157928466797,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,58,,,3.9831480979919434,3,35,train_inline,2813,3.5733392238616943,,,,,,,0.319917768239975,0.319917768239975,0.319917768239975,0.319917768239975,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,0.9999998807907104,1,39,0,10.335921287536621,12609,3,703,0,0.5,True,0.14025112025571604,1,2,703,0.8153096437454224,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,49,,,1.6880117654800415,1,33,train_inline,2814,3.5650339126586914,,,,,,,0.3449169099330902,0.3449169099330902,0.3449169099330902,0.3449169099330902,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_2/update_event_trace.jsonl
False,1.0,,1.0,0,39,0,9.274871826171875,16193,8,703,0,0.5,True,0.14059027815952574,1,1,703,0.8143754005432129,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,63,,,9.274904251098633,1,1,train_inline,2813,3.55643367767334,,,,,,,0.3834482729434967,0.3834482729434967,0.3834482729434967,0.3834482729434967,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_1/update_event_trace.jsonl
False,1.0,,0.9999999403953552,0,39,0,9.141768455505371,8257,5,703,0,0.5,True,0.14072147374157853,1,0,703,0.8153342604637146,20260702-02-flash-vqg-training-minibatch-event-trace-baseline-r2-s124-d123-b64ga4-3090-inline-3090-gpu0-all,32,,,9.141786575317383,1,1,train_inline,2812,3.5531179904937744,,,,,,,0.38866856694221497,0.38866856694221497,0.38866856694221497,0.38866856694221497,20260702-02-flash-vqg-training-minibatch-event-trace,3090,baseline-r2,zoology/experiments/flash_vqg/scripts/20260702-02-flash-vqg-training-minibatch-event-trace/outputs/traces/3090/baseline-r2/inline-3090-gpu0-all/train_inline_step_703/micro_0/update_event_trace.jsonl
