dtype,l2_norm,layer_idx,machine,max,mean,micro_step,min,numel,optimizer_step,sample,sha256,shape,source_json,std,target,trace_name,variant,window_micro_idx
torch.float32,inf,1,2080ti,-1.0000000150474662e+30,-1.0000001661631937e+30,0,-1.0000000150474662e+30,16384,0,"[-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30,-1.0000000150474662e+30]",9a9fe1aa50ef523d738b70d1c4410771a1eebdba615eba1bac04c3b3539793cb,"[64,2,2,32,2]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,1.5111572745182865e+23,gate-logf-probe-s123-r1,phase2_read/top_scores,no-dropout,0
torch.float32,0.0,1,2080ti,0.0,0.0,0,0.0,16384,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",85a80fae2f428310daf8e819aed8147d2ca75f273599d1da531939dbf3f55a7b,"[64,2,2,32,2]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0,gate-logf-probe-s123-r1,phase2_read/top_probs,no-dropout,0
torch.float32,0.0,1,2080ti,0.0,0.0,0,0.0,16384,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",85a80fae2f428310daf8e819aed8147d2ca75f273599d1da531939dbf3f55a7b,"[64,2,2,32,2]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0,gate-logf-probe-s123-r1,phase2_read/omega_sel,no-dropout,0
torch.float32,0.0,1,2080ti,0.0,0.0,0,0.0,8192,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",f8dbbb428d043d7769f8fef4e7717b8a7a9697ac9b6425b62cef8cbd4120f9b0,"[64,2,2,32]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0,gate-logf-probe-s123-r1,phase2_read/read_selected_mass,no-dropout,0
torch.float32,0.0,1,2080ti,0.0,0.0,0,0.0,524288,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",33f5081ccd747a947e389515e1c9cde8155433ffa6999a97fd86a1da6b73247a,"[64,2,2,32,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0,gate-logf-probe-s123-r1,phase2_read/u_res,no-dropout,0
torch.float32,0.0,1,2080ti,0.0,0.0,0,0.0,524288,0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",33f5081ccd747a947e389515e1c9cde8155433ffa6999a97fd86a1da6b73247a,"[64,2,2,32,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0,gate-logf-probe-s123-r1,phase2/O_res_added,no-dropout,0
torch.float32,25.82474136352539,1,2080ti,0.3810758888721466,0.0064299451187253,0,-0.1840706467628479,524288,0,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",0776058ccc0ac379af9e44532886a92c200533879fbf07a3ff6f960da4dc7421,"[64,2,2,32,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.035081565380096436,gate-logf-probe-s123-r1,phase2/Out_f32,no-dropout,0
torch.float32,25.82474136352539,1,2080ti,0.3810758888721466,0.0064299451187253,0,-0.1840706467628479,524288,0,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",6b3815a3e671228802bc138dcbc55fd5f176107bec6bcab43a0ee1ab64894a74,"[64,2,64,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.035081565380096436,gate-logf-probe-s123-r1,output_proj/O_heads,no-dropout,0
torch.float32,83.50860595703125,1,2080ti,1.7408275604248047,0.0024012799840420485,0,-1.7503525018692017,524288,0,"[-0.19990679621696472,-0.00010660163388820365,-0.1854211390018463,0.040087029337882996,-0.004327393602579832,-0.012505988590419292,0.2003031075000763,0.19611649215221405]",28680cc143186bd81730c26edcc671e4ea11d722b0853b5d13112853f3f99688,"[64,2,64,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.11530762165784836,gate-logf-probe-s123-r1,output_proj/o_heads,no-dropout,0
torch.float32,18.868907928466797,1,2080ti,0.13842155039310455,-0.00013265143206808716,0,-0.14551876485347748,524288,0,"[0.03996148332953453,-0.0033638705499470234,0.012420875951647758,0.04953775182366371,0.013684508390724659,0.001448249677196145,0.00022671140322927386,0.010053996928036213]",e7603f2cd37f4e9e25e33da9b5c0f5984706db6dd0d842daa5e2cc4d1a6f9ff5,"[64,64,128]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.02605900913476944,gate-logf-probe-s123-r1,output_proj/res,no-dropout,0
torch.float32,1318.9432373046875,,2080ti,3.167426347732544,0.00024548982037231326,0,-1.1616417169570923,33554432,0,"[-0.3174777626991272,-0.15193472802639008,0.16587187349796295,0.04986667260527611,-0.08510883152484894,-0.003580532968044281,-0.0306699275970459,0.2924538850784302]",045ace9a1fb7ba28540138cca9387e76801fdfd9f439f2211a70fb56143fc34f,"[64,64,8192]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.22817322611808777,gate-logf-probe-s123-r1,forward/logits,no-dropout,0
,,,2080ti,,,0,,,0,,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,,zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,,gate-logf-probe-s123-r1,forward/preds,no-dropout,0
float,10.871894836425781,,2080ti,10.871894836425781,10.871894836425781,0,10.871894836425781,1,0,[10.871894836425781],10.8718948364,[],zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0,gate-logf-probe-s123-r1,forward/loss,no-dropout,0
torch.float32,362.0308532714844,1,2080ti,1.583876132965088,0.0012368219904601574,4,-1.5867421627044678,1048576,1,"[-0.16781887412071228,0.15289820730686188,-0.1404522806406021,-0.2837677001953125,0.21972863376140594,0.5104974508285522,0.16753017902374268,-0.30584242939949036]",4cc08269f2d07436e18fcc3c3737b1aec45dcc2aa9bef939b4732968f36a4cd0,"[64,2,128,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.3535476326942444,gate-logf-probe-s123-r1,phase1/q_all,no-dropout,0
torch.float32,362.0274353027344,1,2080ti,1.5713346004486084,0.000670653535053134,4,-1.6474307775497437,1048576,1,"[-0.19380329549312592,0.7514196038246155,0.22233060002326965,0.11302586644887924,0.4069783389568329,-0.2673981785774231,0.2945021390914917,-0.1348739117383957]",90746f4d743f23b638fad580c3e18dd3e7e8f585f676ad465cb9f2d39e32aa37,"[64,2,128,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.35354557633399963,gate-logf-probe-s123-r1,phase1/k_all,no-dropout,0
torch.float32,83.43160247802734,1,2080ti,0.673084020614624,0.006443742662668228,4,-0.25756314396858215,1048576,1,"[-0.015544378198683262,-0.02655968815088272,0.13320201635360718,-0.00687912805005908,-0.049055635929107666,0.067877396941185,-0.001003580866381526,0.02741413004696369]",efa774972b450e2ec7b3c60396afb1cdc83f7cb1f8d00c8061bed6d2f5607e45,"[64,2,128,64]",zoology/experiments/flash_vqg/scripts/20260629-01-flash-vqg-gate-logf-stability/outputs/round1e-5/2080ti/probe.json,0.0812217965722084,gate-logf-probe-s123-r1,phase1/v_all,no-dropout,0
