-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::nll_loss_backward         0.00%      47.468us         0.00%     219.757us     219.757us      13.440us         0.00%      75.392us      75.392us           0 b           0 b      32.00 Mb      32.00 Mb             1  
                                    LogSoftmaxBackward0         0.00%      12.561us         0.00%      73.208us      73.208us       0.000us         0.00%     240.479us     240.479us           0 b           0 b      32.00 Mb           0 b             1  
                       aten::_log_softmax_backward_data         0.00%      13.412us         0.00%      60.647us      60.647us     240.479us         0.01%     240.479us     240.479us           0 b           0 b      32.00 Mb      32.00 Mb             1  
autograd::engine::evaluate_function: NllLossBackward...         0.00%      47.715us         0.00%     301.263us     301.263us       0.000us         0.00%      75.392us      75.392us           0 b           0 b      32.00 Mb        -512 b             1  
                            flashvqg/attn/phase2/reduce         0.00%     290.204us         0.02%       2.497ms       2.497ms       0.000us         0.00%     528.572us     528.572us           0 b           0 b      31.43 Mb      -3.02 Mb             1  
                                            MvBackward0         0.27%      35.207ms         3.14%     408.338ms      66.461us       0.000us         0.00%      36.872ms       6.001us           0 b           0 b      27.00 Mb           0 b          6144  
                                              aten::div         0.01%     871.924us         0.07%       8.577ms     136.142us     232.447us         0.01%     232.447us       3.690us           0 b           0 b      25.96 Mb      25.96 Mb            63  
                       gd_residual/phase2_residual_read         0.00%     331.677us         0.01%       1.379ms       1.379ms       0.000us         0.00%     400.446us     400.446us           0 b           0 b      24.39 Mb      -2.02 Mb             1  
                                              aten::ger         0.05%       7.081ms         1.23%     159.874ms      26.021us       0.000us         0.00%      17.897ms       2.913us           0 b           0 b      24.00 Mb           0 b          6144  
                                              aten::sum         3.16%     410.511ms         4.63%     601.465ms      20.744us     149.643ms         3.46%     149.643ms       5.161us           0 b           0 b      15.61 Mb      15.61 Mb         28994  
                                           aten::einsum         0.00%     428.700us         0.04%       4.723ms     314.840us       0.000us         0.00%     279.967us      18.664us           0 b           0 b      14.51 Mb           0 b            15  
                                          aten::reshape         0.25%      32.759ms         0.73%      95.096ms       4.559us       0.000us         0.00%      85.666us       0.004us           0 b           0 b      14.02 Mb           0 b         20857  
                                            MmBackward0         0.00%      46.183us         0.04%       5.065ms       1.688ms       0.000us         0.00%     436.382us     145.461us           0 b           0 b      13.94 Mb           0 b             3  
                                              aten::sub         0.81%     105.141ms         1.21%     157.714ms      19.096us      18.032ms         0.42%      18.032ms       2.183us         396 b           0 b      13.59 Mb      13.59 Mb          8259  
                                              aten::neg         0.46%      59.775ms         0.84%     108.818ms      17.625us      13.480ms         0.31%      13.480ms       2.183us           0 b           0 b      11.73 Mb      11.73 Mb          6174  
                                       aten::contiguous         0.00%      37.470us         0.06%       7.781ms     311.237us       0.000us         0.00%     102.014us       4.081us           0 b           0 b      10.52 Mb           0 b            25  
                                           DivBackward0         0.00%     196.793us         0.01%     972.742us      81.062us       0.000us         0.00%     175.420us      14.618us           0 b           0 b      10.30 Mb      -9.45 Mb            12  
                              Optimizer.step#AdamW.step         0.02%       3.137ms         0.35%      45.735ms      45.735ms       0.000us         0.00%     290.912us     290.912us         104 b          -4 b       9.04 Mb      -4.52 Mb             1  
                                            aten::addmm         0.01%       1.214ms         0.14%      18.390ms       4.597ms      40.255us         0.00%      40.255us      10.064us           0 b           0 b       8.65 Mb       4.65 Mb             4  
                                           SubBackward0         0.11%      14.517ms         0.89%     116.287ms      18.865us       0.000us         0.00%      13.442ms       2.181us           0 b           0 b       8.55 Mb           0 b          6164  
                                          ViewBackward0         0.10%      12.931ms         0.26%      34.259ms       5.500us       0.000us         0.00%      44.098us       0.007us           0 b           0 b       7.77 Mb           0 b          6229  
                                               aten::mv         0.67%      86.561ms         3.37%     437.775ms      30.537us       0.000us         0.00%      40.060ms       2.794us           0 b           0 b       7.00 Mb           0 b         14336  
                                              aten::exp         0.88%     114.994ms         1.34%     174.855ms      21.308us      17.547ms         0.41%      17.550ms       2.139us           0 b           0 b       6.53 Mb       6.53 Mb          8206  
                                      aten::masked_fill         0.00%     224.709us         0.01%       1.062ms      27.242us       0.000us         0.00%      58.046us       1.488us         396 b           0 b       6.00 Mb           0 b            39  
                                           Buffer Flush         0.01%       1.251ms         0.01%       1.322ms      18.883us      54.657ms         1.26%      54.657ms     780.819us          -8 b          -8 b       5.59 Mb       5.59 Mb            70  
