-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       flashvqg/attn/phase2/remote_path         0.00%     485.039us         0.14%      18.300ms      18.300ms       0.000us         0.00%     480.637us     480.637us           0 b           0 b      72.35 Mb      -4.38 Mb             1  
                                             aten::flip         0.00%     325.486us         0.12%      16.010ms     571.800us     100.418us         0.00%     100.418us       3.586us           0 b           0 b      68.00 Kb           0 b            28  
                                          aten::maximum         0.00%      45.190us         0.11%      14.225ms      14.225ms       2.496us         0.00%       2.496us       2.496us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                               aten::to         0.08%      10.860ms         0.10%      13.520ms       0.245us       0.000us         0.00%      51.392us       0.001us       2.50 Kb           0 b      76.00 Kb           0 b         55136  
                                               aten::eq         0.00%     232.042us         0.10%      12.477ms     779.837us      33.760us         0.00%      33.760us       2.110us           0 b           0 b     158.50 Kb     158.50 Kb            16  
                                        aten::clamp_min         0.00%     335.372us         0.09%      11.783ms     620.166us      43.392us         0.00%      43.392us       2.284us           0 b           0 b       2.07 Mb       2.07 Mb            19  
                                               cudaFree         0.09%      11.462ms         0.09%      11.462ms       3.821ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                        flashvqg/attn/phase2/local_path         0.01%     680.203us         0.08%      10.639ms      10.639ms       0.000us         0.00%      98.911us      98.911us           0 b           0 b       2.63 Mb      -2.64 Mb             1  
                                             aten::sqrt         0.00%      73.416us         0.08%      10.530ms       2.106ms      12.385us         0.00%      12.385us       2.477us           0 b           0 b      90.00 Kb      90.00 Kb             5  
                                             cudaMalloc         0.08%      10.276ms         0.08%      10.276ms     140.773us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
                                              aten::min         0.00%      71.655us         0.08%       9.838ms       4.919ms       8.320us         0.00%       8.320us       4.160us           0 b           0 b       2.00 Kb       2.00 Kb             2  
                                         aten::quantile         0.01%       1.669ms         0.08%       9.801ms     296.999us       0.000us         0.00%       0.000us       0.000us       1.16 Kb     -83.86 Kb           0 b           0 b            33  
                                          aten::divide_         0.00%     114.233us         0.07%       9.361ms     292.540us       0.000us         0.00%     114.753us       3.586us           0 b         -56 b           0 b           0 b            32  
                                             aten::div_         0.00%     394.875us         0.07%       9.247ms     288.970us     114.753us         0.00%     114.753us       3.586us          56 b          56 b           0 b           0 b            32  
                                          aten::softmax         0.00%      12.174us         0.07%       8.818ms       8.818ms       0.000us         0.00%       9.727us       9.727us           0 b           0 b       2.00 Mb           0 b             1  
                                         aten::_softmax         0.00%      48.821us         0.07%       8.806ms       8.806ms       4.543us         0.00%       9.727us       9.727us           0 b           0 b       2.00 Mb           0 b             1  
                                          aten::__and__         0.00%       3.637us         0.07%       8.708ms       8.708ms       0.000us         0.00%       2.720us       2.720us           0 b           0 b         512 b           0 b             1  
                                      aten::bitwise_and         0.00%      27.035us         0.07%       8.705ms       8.705ms       2.720us         0.00%       2.720us       2.720us           0 b           0 b         512 b         512 b             1  
                                             aten::mean         0.00%     480.741us         0.07%       8.651ms     308.951us     109.212us         0.00%     109.212us       3.900us           0 b           0 b      23.00 Kb      23.00 Kb            28  
                                              aten::div         0.01%     871.924us         0.07%       8.577ms     136.142us     232.447us         0.01%     232.447us       3.690us           0 b           0 b      25.96 Mb      25.96 Mb            63  
                                     aten::floor_divide         0.00%     127.220us         0.07%       8.455ms       1.057ms      20.832us         0.00%      20.832us       2.604us           0 b           0 b      93.00 Kb           0 b             8  
                                           aten::conv1d         0.00%      13.956us         0.06%       8.296ms       8.296ms       0.000us         0.00%      14.592us      14.592us           0 b           0 b     520.00 Kb           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.001s
Self CUDA time total: 4.326s
