machine,variant,train_step,loss,read_topk_effective,read_churn,read_retention,read_top1_flip,read_margin_mean,read_margin_p05,read_entropy_mean,read_selected_mass_mean,raw_topk_mass_mean,update_norm_mean,update_norm_p95,update_norm_max,m_norm_mean,m_norm_max,lambda_mean,inject_ratio,write_q_top1_mean,write_q_entropy_mean,write_strength_mean,write_strength_p95,write_strength_max,vq_entropy,vq_usage_max,vq_usage_min,vq_relative_err_mean
2080ti,trace-r2-readwrite-256,16,9.036155700683594,2.0,0.530517578125,0.469482421875,0.5938720703125,0.37289226055145264,0.0,3.3613760471343994,0.03298119083046913,0.20092059671878815,0.08195923268795013,0.12170965224504471,0.23767539858818054,0.04611798748373985,0.4126177132129669,0.050577305257320404,0.1689431071281433,0.32784903049468994,1.3594609498977661,0.12489835917949677,0.18232391774654388,0.3165857791900635,4.053862571716309,684.1627807617188,92.60755920410156,0.7950164079666138
3090,trace-r2-readwrite-256,16,9.036564826965332,2.0,0.532958984375,0.467041015625,0.60400390625,0.37871861457824707,0.0,3.3602070808410645,0.03222508728504181,0.20069757103919983,0.08241081982851028,0.12211079150438309,0.25360026955604553,0.04615812748670578,0.39851221442222595,0.05093530938029289,0.16649450361728668,0.3273990750312805,1.3598170280456543,0.12548142671585083,0.18292781710624695,0.3153323233127594,4.0547614097595215,679.8609008789062,93.84860229492188,0.795234203338623
2080ti,trace-r2-readwrite-256,64,8.70534896850586,2.0,0.56787109375,0.43212890625,0.640380859375,0.3614988327026367,0.0,3.465728759765625,0.15528932213783264,0.5834860801696777,0.02445038966834545,0.11995670944452286,0.4149596095085144,0.009902780875563622,1.3374580144882202,0.008459502831101418,0.004880566615611315,0.8746011257171631,0.5125916004180908,0.03969540446996689,0.19154350459575653,0.3692336082458496,2.61015248298645,8360.671875,23.33623504638672,0.35948434472084045
3090,trace-r2-readwrite-256,64,8.702812194824219,2.0,0.574462890625,0.425537109375,0.64697265625,0.3853563964366913,0.0,3.422635316848755,0.16435113549232483,0.5832308530807495,0.026560910046100616,0.12751449644565582,0.4194584786891937,0.010816000401973724,1.390829086303711,0.008535051718354225,0.0064161415211856365,0.8742078542709351,0.5136987566947937,0.04157104343175888,0.19608819484710693,0.39943355321884155,2.6120076179504395,8353.287109375,23.3568115234375,0.36008358001708984
2080ti,trace-r2-readwrite-256,128,8.460675239562988,2.0,0.75579833984375,0.24420166015625,0.888916015625,1.0790082216262817,0.0,2.28096079826355,0.41593360900878906,0.7672665119171143,0.009934352710843086,0.06477540731430054,0.4886897802352905,0.01033911295235157,0.9701443314552307,0.0027934848330914974,0.03388785570859909,0.9287531971931458,0.333495557308197,0.017049897462129593,0.11094669997692108,0.6761782169342041,1.7008590698242188,11675.2646484375,13.216544151306152,0.07404714822769165
3090,trace-r2-readwrite-256,128,8.460023880004883,2.0,0.61297607421875,0.38702392578125,0.7589111328125,2.9448039531707764,0.0,1.7841739654541016,0.511719286441803,0.7675474882125854,0.00976194441318512,0.06355559825897217,0.36578285694122314,0.009573409333825111,0.831814169883728,0.0025590655859559774,0.02472902275621891,0.9277941584587097,0.3370383679866791,0.016505274921655655,0.10811847448348999,0.5384445190429688,1.7022733688354492,11667.47265625,13.229097366333008,0.07383798062801361
2080ti,trace-r2-readwrite-256,256,8.387803077697754,2.0,0.5096435546875,0.4903564453125,0.6939697265625,0.7232937812805176,0.0,2.1460068225860596,0.4769223630428314,0.7989397048950195,0.010674710385501385,0.06084240972995758,0.7900620102882385,0.0172673799097538,2.3019182682037354,0.0007692145300097764,0.0005729293334297836,0.9415135383605957,0.28593116998672485,0.008430613204836845,0.048355404287576675,0.6411187648773193,1.510146141052246,12324.501953125,12.025066375732422,0.01888372004032135
3090,trace-r2-readwrite-256,256,8.38790225982666,2.0,0.18414306640625,0.81585693359375,0.131591796875,4.780390739440918,0.0,1.7087432146072388,0.5508607625961304,0.799042284488678,0.013943337835371494,0.08465971797704697,0.8298839330673218,0.01955110765993595,2.8657493591308594,0.0011990282218903303,0.002194543369114399,0.9405794739723206,0.28960421681404114,0.011483089998364449,0.07126840204000473,0.6175638437271118,1.512556552886963,12313.841796875,12.037342071533203,0.01850380003452301
2080ti,trace-r4-read-256,0,9.038745880126953,4.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.03672531247138977,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.1883331835269928,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
3090,trace-r4-read-256,0,9.038745880126953,4.0,0.0,0.0,0.0,0.3420845866203308,0.0,3.4502551555633545,0.03672531247138977,0.14608624577522278,0.08179070055484772,0.11187998205423355,0.204389289021492,0.06290135532617569,0.29540905356407166,0.05000000819563866,0.1883331835269928,0.30616942048072815,1.3719041347503662,0.125,0.16616804897785187,0.2910999357700348,4.158663749694824,271.2391357421875,244.8729248046875,0.9499677419662476
2080ti,trace-r4-read-256,16,9.03615665435791,4.0,0.457244873046875,0.542755126953125,0.592529296875,0.372676283121109,0.0,3.361924171447754,0.0512780025601387,0.20092010498046875,0.08136147260665894,0.12086880952119827,0.24203936755657196,0.04572121798992157,0.410789430141449,0.050352782011032104,0.21674960851669312,0.32784852385520935,1.359462022781372,0.12397982180118561,0.18107730150222778,0.3222522735595703,4.05387020111084,684.17236328125,92.61372375488281,0.7950179576873779
3090,trace-r4-read-256,16,9.036568641662598,4.0,0.4588623046875,0.5411376953125,0.6021728515625,0.37877601385116577,0.0,3.3604736328125,0.05019334331154823,0.20069517195224762,0.08194008469581604,0.12153089791536331,0.25198909640312195,0.04587098956108093,0.40288597345352173,0.05093659833073616,0.21479938924312592,0.32740113139152527,1.3598159551620483,0.12474822252988815,0.18199023604393005,0.3131064474582672,4.054765701293945,679.8967895507812,93.83622741699219,0.7952371835708618
2080ti,trace-r4-read-256,64,8.705409049987793,4.0,0.49273681640625,0.50726318359375,0.6446533203125,0.35896673798561096,0.0,3.48211669921875,0.24232029914855957,0.5834993720054626,0.022529659792780876,0.11167897284030914,0.3819730281829834,0.009034564718604088,1.3056812286376953,0.008212922140955925,0.005783887580037117,0.874610185623169,0.5125616788864136,0.03660431131720543,0.17827633023262024,0.36189717054367065,2.6100873947143555,8360.951171875,23.335832595825195,0.35946589708328247
