machine,comparison,kind,model,reference_fla,candidate_fla,loss_abs,tensor,exact,max_abs,relative_l2,tensor_passed,comparison_passed,source
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.norm2.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.A_log,False,1.4551915228366852e-10,4.073549040690631e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.a_proj.weight,False,1.0186340659856796e-10,3.469208885114424e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.b_proj.weight,False,6.402842700481415e-10,3.5883587065626647e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.dt_bias,False,1.382431946694851e-10,3.959627241949282e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.k_conv1d.weight,False,1.3096723705530167e-10,1.9666809395210618e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.k_proj.weight,False,5.820766091346741e-10,2.3552584311373866e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.o_norm.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.o_proj.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.q_conv1d.weight,False,5.820766091346741e-11,9.215174597604242e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.q_proj.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.v_conv1d.weight,False,1.2369127944111824e-10,2.2676364411010908e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.layers.1.sequence_mixer.mixer.v_proj.weight,False,6.984919309616089e-10,2.6616934409015523e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.ln_f.bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,grad/backbone.ln_f.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,logits,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.embeddings.word_embeddings.weight,False,4.049856215715408e-06,2.038537813325913e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.norm1.bias,False,2.3283064365386963e-10,5.911117313671871e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.norm1.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.norm2.bias,False,2.3283064365386963e-10,5.636101376722477e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.norm2.weight,False,5.960464477539063e-08,5.269125757428269e-09,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.sequence_mixer.mixer.conv.conv.bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.sequence_mixer.mixer.conv.conv.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.sequence_mixer.mixer.projection.bias,False,2.3283064365386963e-10,6.589325267965628e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.0.sequence_mixer.mixer.projection.weight,False,2.246815711259842e-08,1.562315239076776e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.norm1.bias,False,3.4924596548080444e-10,6.903872007748766e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.norm1.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.norm2.bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.norm2.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.A_log,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.D,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.a_proj.weight,False,1.862645149230957e-09,1.2365416009298243e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.b_proj.weight,False,3.725290298461914e-09,1.7149218141375437e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.dt_bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.k_conv1d.weight,False,2.9802322387695312e-08,3.6869819227703477e-09,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.k_proj.weight,False,1.2479722499847412e-06,2.659943609602947e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.o_norm.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.o_proj.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.q_conv1d.weight,False,8.940696716308594e-08,7.753847075581051e-09,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.q_proj.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.v_conv1d.weight,False,1.4901161193847656e-07,1.3775537296828672e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.layers.1.sequence_mixer.mixer.v_proj.weight,False,1.6550184227526188e-06,5.32964295493868e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.ln_f.bias,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-gdn-model,model,gdn,0.4.0,0.4.2,0.0,param_after/backbone.ln_f.weight,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-gdn-model.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,final_state,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,grad/beta,False,8.881784197001252e-16,1.0578225321592982e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,grad/g,False,3.552713678800501e-15,4.90797893316002e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,grad/k,False,2.220446049250313e-16,1.1807310760191204e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,grad/q,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,grad/v,False,4.440892098500626e-16,1.5102000914783313e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v042-kernel,kernel,,0.4.0,0.4.2,0.0,output,True,0.0,0.0,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v042-kernel.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.embeddings.word_embeddings.weight,False,1.4901161193847656e-08,7.915290089394576e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.norm1.bias,False,9.313225746154785e-10,1.3368592401141963e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.norm1.weight,False,9.313225746154785e-10,1.5027933938412391e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.norm2.bias,False,4.656612873077393e-10,1.1257280980399774e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.norm2.weight,False,4.656612873077393e-10,1.457789122963241e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.sequence_mixer.mixer.conv.conv.bias,False,1.7462298274040222e-10,9.733156667454123e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.sequence_mixer.mixer.conv.conv.weight,False,2.9103830456733704e-10,1.1882310628904923e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.sequence_mixer.mixer.projection.bias,False,9.89530235528946e-10,1.363044211811771e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.0.sequence_mixer.mixer.projection.weight,False,1.1641532182693481e-09,1.2516242187690045e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.norm1.bias,False,2.473825588822365e-10,2.9723950910349356e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.norm1.weight,False,2.1827872842550278e-10,3.8762071932501357e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.norm2.bias,False,2.3283064365386963e-10,9.656718245748859e-08,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.norm2.weight,False,2.3283064365386963e-10,1.264418952166731e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.A_log,False,7.457856554538012e-11,2.0876938833539486e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.a_proj.weight,False,2.1827872842550278e-10,6.565319199135005e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.b_proj.weight,False,7.8580342233181e-10,4.082420348782199e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.dt_bias,False,6.912159733474255e-11,2.1020744704253008e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.k_conv1d.weight,False,1.6007106751203537e-10,3.337633210642025e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.k_proj.weight,False,9.313225746154785e-10,3.5848304827429734e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.o_norm.weight,False,8.731149137020111e-11,2.405602312504928e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
2080ti,current040-vs-v050-gdn-model,model,gdn,0.4.0,0.5.0,9.5367431640625e-07,grad/backbone.layers.1.sequence_mixer.mixer.o_proj.weight,False,4.94765117764473e-10,2.1911973945483115e-07,True,True,zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/equivalence/current040-vs-v050-gdn-model.json
