timestamp_utc,gpu,memory_used_mib,memory_total_mib
2026-05-19T03:32:32Z,0,2869,11264
2026-05-19T03:32:32Z,1,6,11264
2026-05-19T03:32:37Z,0,2869,11264
2026-05-19T03:32:37Z,1,6,11264
2026-05-19T03:32:42Z,0,2869,11264
2026-05-19T03:32:42Z,1,6,11264
2026-05-19T03:32:47Z,0,2869,11264
2026-05-19T03:32:47Z,1,6,11264
2026-05-19T03:32:52Z,0,2869,11264
2026-05-19T03:32:52Z,1,6,11264
2026-05-19T03:32:57Z,0,2869,11264
2026-05-19T03:32:57Z,1,6,11264
2026-05-19T03:33:02Z,0,2869,11264
2026-05-19T03:33:02Z,1,6,11264
2026-05-19T03:33:07Z,0,2869,11264
2026-05-19T03:33:07Z,1,6,11264
2026-05-19T03:33:12Z,0,2869,11264
2026-05-19T03:33:12Z,1,6,11264
2026-05-19T03:33:17Z,0,2869,11264
2026-05-19T03:33:17Z,1,6,11264
2026-05-19T03:33:22Z,0,2869,11264
2026-05-19T03:33:22Z,1,6,11264
2026-05-19T03:33:27Z,0,2869,11264
2026-05-19T03:33:27Z,1,6,11264
2026-05-19T03:33:32Z,0,2869,11264
2026-05-19T03:33:32Z,1,6,11264
2026-05-19T03:33:37Z,0,2869,11264
2026-05-19T03:33:37Z,1,6,11264
2026-05-19T03:33:43Z,0,2869,11264
2026-05-19T03:33:43Z,1,6,11264
2026-05-19T03:33:48Z,0,2869,11264
2026-05-19T03:33:48Z,1,6,11264
2026-05-19T03:33:53Z,0,2869,11264
2026-05-19T03:33:53Z,1,6,11264
2026-05-19T03:33:58Z,0,2869,11264
2026-05-19T03:33:58Z,1,6,11264
2026-05-19T03:34:03Z,0,2869,11264
2026-05-19T03:34:03Z,1,6,11264
2026-05-19T03:34:08Z,0,2869,11264
2026-05-19T03:34:08Z,1,6,11264
2026-05-19T03:34:13Z,0,2869,11264
2026-05-19T03:34:13Z,1,6,11264
2026-05-19T03:34:18Z,0,2869,11264
2026-05-19T03:34:18Z,1,6,11264
2026-05-19T03:34:23Z,0,2869,11264
2026-05-19T03:34:23Z,1,6,11264
2026-05-19T03:34:28Z,0,2869,11264
2026-05-19T03:34:28Z,1,6,11264
2026-05-19T03:34:33Z,0,2869,11264
2026-05-19T03:34:33Z,1,6,11264
2026-05-19T03:34:38Z,0,2869,11264
2026-05-19T03:34:38Z,1,6,11264
2026-05-19T03:34:43Z,0,2869,11264
2026-05-19T03:34:43Z,1,6,11264
2026-05-19T03:34:48Z,0,2869,11264
2026-05-19T03:34:48Z,1,6,11264
2026-05-19T03:34:53Z,0,2869,11264
2026-05-19T03:34:53Z,1,6,11264
2026-05-19T03:34:58Z,0,21,11264
2026-05-19T03:34:58Z,1,6,11264
2026-05-19T03:35:03Z,0,21,11264
2026-05-19T03:35:03Z,1,6,11264
