variant,machine,optimizer_step,hotspot_metric,rank,metric_value,layer_idx,head_idx,code_idx,num_events_sum,pair_abs_cos_p95_mean,update_norm_p95_mean,condition_number_mean,effective_rank_mean
dgeom-r16-injwarm512-only,3090,256,low_effective_rank,7,1.090374231338501,1,0,57,3,0.921127438545227,0.004265464245690964,2.9676578044891357,1.090374231338501
dgeom-r16-injwarm512-only,3090,256,low_effective_rank,8,1.1028369920594352,1,1,50,28672,0.9973663176809039,2.4086285403796603,128.35211454119002,1.1028369920594352
dgeom-r16-injwarm512-only,3090,256,low_effective_rank,9,1.1092145528112138,1,0,5,28672,0.997587868145534,0.016476362511249527,105.01092147827148,1.1092145528112138
dgeom-r16-injwarm512-only,3090,256,low_effective_rank,10,4.353632126535688,1,0,39,28672,0.9056498578616551,0.8027601689100266,11.198765209742955,4.353632126535688
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,1,0.9999570667743682,1,1,63,40960,0.9999570667743682,0.08155335020273924,1591.6331726074218,1.002376914024353
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,2,0.999954280257225,1,1,48,40960,0.999954280257225,0.09824690297245979,1354.9786437988282,1.0018560588359833
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,3,0.9998987346887589,1,1,12,40960,0.9998987346887589,0.11344481110572815,970.2726409912109,1.0043354511260987
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,4,0.9977272003889084,1,1,50,40960,0.9977272003889084,2.9428672313690187,206.44747314453124,1.0690198302268983
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,5,0.987447801232338,1,0,33,20445,0.987447801232338,0.008920184132875875,16.88656210899353,1.8651855647563935
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,6,0.9757425844669342,1,0,50,30508,0.9757425844669342,0.006858673493843526,14.51673402786255,2.073787587881088
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,7,0.974644348025322,1,0,19,31048,0.974644348025322,0.010765829239971936,13.22242841720581,2.2658227682113647
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,8,0.9587120413780212,1,0,46,3,0.9587120413780212,0.0050961802480742335,3.943847179412842,1.0528810620307922
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,9,0.9583585739135743,1,0,5,4741,0.9583585739135743,0.020395170687697826,8.158719444274903,6.0340282917022705
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,10,0.8617867767810822,1,0,52,2920,0.8617867767810822,0.021354501973837613,8.522972548007965,6.684599673748016
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,11,0.8155586630105972,1,0,57,3089,0.8155586630105972,0.0198191030183807,8.289770972728729,6.843127548694611
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,12,0.8140474796295166,1,0,21,1722,0.8140474796295166,0.021381228254176675,11.115111315250397,6.635543882846832
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,13,0.812704274058342,1,0,0,4897,0.812704274058342,0.022811343730427324,6.65195996761322,7.641048038005829
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,14,0.7935057499191978,1,0,60,60,0.7935057499191978,0.009269605701168379,7.311979007720947,2.2332097768783568
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,15,0.7828452795743942,1,0,51,1696,0.7828452795743942,0.0220637490041554,7.322426736354828,9.113671159744262
dgeom-r16-injwarm512-only,3090,512,high_pair_abs_cos_p95,16,0.7686011150479317,1,0,59,2168,0.7686011150479317,0.024340390460565686,6.4298835635185245,9.071834588050843
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,1,2.9428672313690187,1,1,50,40960,0.9977272003889084,2.9428672313690187,206.44747314453124,1.0690198302268983
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,2,0.11344481110572815,1,1,12,40960,0.9998987346887589,0.11344481110572815,970.2726409912109,1.0043354511260987
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,3,0.09824690297245979,1,1,48,40960,0.999954280257225,0.09824690297245979,1354.9786437988282,1.0018560588359833
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,4,0.08155335020273924,1,1,63,40960,0.9999570667743682,0.08155335020273924,1591.6331726074218,1.002376914024353
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,5,0.027445885445922615,1,0,32,2257,0.6192778795957565,0.027445885445922615,4.295807504653931,11.962789583206177
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,6,0.02637399798259139,1,0,18,1025,0.6719758868217468,0.02637399798259139,11.976981246471405,9.552392578125
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,7,0.025973293744027615,1,0,40,1125,0.6470818221569061,0.025973293744027615,10.044247770309449,10.22560248374939
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,8,0.025964684318751097,1,0,37,1522,0.6335423350334167,0.025964684318751097,5.116195976734161,11.582016944885254
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,9,0.025186633225530386,1,0,25,1851,0.7332226186990738,0.025186633225530386,5.546341407299042,10.641372585296631
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,10,0.02462026188150048,1,0,31,1912,0.6224502205848694,0.02462026188150048,5.673133838176727,11.21544327735901
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,11,0.024447407154366375,1,0,58,1241,0.6474432557821274,0.024447407154366375,7.971220672130585,10.088150787353516
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,12,0.024340390460565686,1,0,59,2168,0.7686011150479317,0.024340390460565686,6.4298835635185245,9.071834588050843
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,13,0.024293862283229828,1,0,36,1059,0.6438757807016373,0.024293862283229828,16.855679714679717,9.56899106502533
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,14,0.024247679323889316,1,0,43,686,0.6610792845487594,0.024247679323889316,22.980441832542418,8.36796395778656
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,15,0.024046461982652544,1,0,47,708,0.6647562474012375,0.024046461982652544,44.04647006988525,8.541027784347534
dgeom-r16-injwarm512-only,3090,512,high_update_norm_p95,16,0.02394364345818758,1,0,15,955,0.667270839214325,0.02394364345818758,178.54093527793884,9.289650225639344
dgeom-r16-injwarm512-only,3090,512,high_condition_number,1,2541.1900165557863,1,0,29,496,0.6617615193128585,0.02320845522917807,2541.1900165557863,7.730223059654236
dgeom-r16-injwarm512-only,3090,512,high_condition_number,2,1591.6331726074218,1,1,63,40960,0.9999570667743682,0.08155335020273924,1591.6331726074218,1.002376914024353
dgeom-r16-injwarm512-only,3090,512,high_condition_number,3,1354.9786437988282,1,1,48,40960,0.999954280257225,0.09824690297245979,1354.9786437988282,1.0018560588359833
dgeom-r16-injwarm512-only,3090,512,high_condition_number,4,975.0773503303528,1,0,9,509,0.666618999838829,0.02278497526422143,975.0773503303528,7.277012276649475
dgeom-r16-injwarm512-only,3090,512,high_condition_number,5,970.2726409912109,1,1,12,40960,0.9998987346887589,0.11344481110572815,970.2726409912109,1.0043354511260987
dgeom-r16-injwarm512-only,3090,512,high_condition_number,6,319.27385277748107,1,0,38,216,0.6215130999684334,0.011074186523910613,319.27385277748107,5.543938571214676
dgeom-r16-injwarm512-only,3090,512,high_condition_number,7,313.13508943915366,1,0,14,199,0.6584053431686602,0.014462140598334372,313.13508943915366,4.67599778175354
dgeom-r16-injwarm512-only,3090,512,high_condition_number,8,281.74170298576354,1,0,54,374,0.6549236625432968,0.016541912010870873,281.74170298576354,6.712717354297638
dgeom-r16-injwarm512-only,3090,512,high_condition_number,9,206.44747314453124,1,1,50,40960,0.9977272003889084,2.9428672313690187,206.44747314453124,1.0690198302268983
dgeom-r16-injwarm512-only,3090,512,high_condition_number,10,178.54093527793884,1,0,15,955,0.667270839214325,0.02394364345818758,178.54093527793884,9.289650225639344
dgeom-r16-injwarm512-only,3090,512,high_condition_number,11,116.84724891781806,1,0,45,275,0.6384181290864944,0.02089770375750959,116.84724891781806,5.856338858604431
dgeom-r16-injwarm512-only,3090,512,high_condition_number,12,97.75866425037384,1,0,56,448,0.7317054241895675,0.016971406457014383,97.75866425037384,5.378590244054794
dgeom-r16-injwarm512-only,3090,512,high_condition_number,13,92.64596445309489,1,0,63,95,0.6671106184230131,0.009144872132884828,92.64596445309489,2.9554518963161267
dgeom-r16-injwarm512-only,3090,512,high_condition_number,14,61.667261719703674,1,0,13,94,0.7575402557849884,0.01108665233723035,61.667261719703674,2.847914457321167
dgeom-r16-injwarm512-only,3090,512,high_condition_number,15,61.12161637544632,1,0,4,473,0.7069018420420194,0.020946756959892808,61.12161637544632,5.897995579242706
dgeom-r16-injwarm512-only,3090,512,high_condition_number,16,59.38716330528259,1,0,49,153,0.730698800749249,0.015220495616085827,59.38716330528259,3.69324277639389
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,1,1.0018560588359833,1,1,48,40960,0.999954280257225,0.09824690297245979,1354.9786437988282,1.0018560588359833
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,2,1.002376914024353,1,1,63,40960,0.9999570667743682,0.08155335020273924,1591.6331726074218,1.002376914024353
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,3,1.0043354511260987,1,1,12,40960,0.9998987346887589,0.11344481110572815,970.2726409912109,1.0043354511260987
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,4,1.0528810620307922,1,0,46,3,0.9587120413780212,0.0050961802480742335,3.943847179412842,1.0528810620307922
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,5,1.0690198302268983,1,1,50,40960,0.9977272003889084,2.9428672313690187,206.44747314453124,1.0690198302268983
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,6,1.1109081241819594,1,0,35,11,0.6106175407767296,0.00910976565339499,2.0474365949630737,1.1109081241819594
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,7,1.1426990032196045,1,0,6,8,0.033273082226514816,0.006281785733465638,1.0048350947243827,1.1426990032196045
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,8,1.2127998405032687,1,0,10,12,0.6031742095947266,0.006252497486356232,1.280261688762241,1.2127998405032687
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,9,1.3595661776406425,1,0,3,11,0.5988613292574883,0.006497034270848546,1.6462324517113822,1.3595661776406425
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,10,1.4684634804725647,1,0,28,14,0.632559284567833,0.006772950873710215,2.1983470916748047,1.4684634804725647
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,11,1.5030571222305298,1,0,62,22,0.43716099858283997,0.009408721270469518,1.3138958399112408,1.5030571222305298
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,12,1.6851180791854858,1,0,48,9,0.3398903086781502,0.0038496488705277443,1.3778326272964478,1.6851180791854858
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,13,1.8651855647563935,1,0,33,20445,0.987447801232338,0.008920184132875875,16.88656210899353,1.8651855647563935
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,14,2.073787587881088,1,0,50,30508,0.9757425844669342,0.006858673493843526,14.51673402786255,2.073787587881088
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,15,2.233064700575436,1,0,23,60,0.7324345753743098,0.014604424783850418,4.040431506493512,2.233064700575436
dgeom-r16-injwarm512-only,3090,512,low_effective_rank,16,2.2332097768783568,1,0,60,60,0.7935057499191978,0.009269605701168379,7.311979007720947,2.2332097768783568
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,1,0.9999788318361554,1,1,63,28672,0.9999788318361554,0.0792044715157577,2345.30606515067,1.0023356165204729
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,2,0.9999726627554212,1,1,48,28672,0.9999726627554212,0.09331285580992699,1930.7481515066963,1.002125825200762
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,3,0.9999284701687949,1,1,12,28672,0.9999284701687949,0.11080714182129928,1247.228227887835,1.0054266027041845
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,4,0.9987561617578778,1,1,50,28672,0.9987561617578778,2.272201725414821,313.2969643729074,1.0840582421847753
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,5,0.9853389816624778,1,0,33,20616,0.9853389816624778,0.001016623552589278,19.938352244240896,1.6638003417423792
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,6,0.9844480752944946,1,0,50,24463,0.9844480752944946,0.002149081015626767,19.175406864711217,1.6818244797842843
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,7,0.9818135031632015,1,0,19,24807,0.9818135031632015,0.0025362850532733966,17.510614258902415,1.817585519381932
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,8,0.945884108543396,1,0,52,1510,0.945884108543396,0.008202195899294955,13.615113258361816,4.151465841702053
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,9,0.9337054235594613,1,0,21,1127,0.9337054235594613,0.008387756434136204,16.181892497198923,4.025346091815403
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,10,0.928172128541129,1,0,57,1395,0.928172128541129,0.0088573963314827,11.424982820238386,5.200345039367676
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,11,0.8778419026306697,1,0,51,883,0.8778419026306697,0.008507180426801954,9.826322214944023,6.957126992089408
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,12,0.874533589397158,1,0,0,1843,0.874533589397158,0.00888173927419952,8.186108384813581,6.569823946271624
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,13,0.8704649550574166,1,0,5,1444,0.8704649550574166,0.0092772813513875,8.062770673206874,7.0168799332209995
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,14,0.797690361738205,1,0,23,16,0.797690361738205,0.004019162817192929,4.062549420765468,1.5044076442718506
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,15,0.7933083006313869,1,0,39,25582,0.7933083006313869,0.0074267552866201314,5.703248875481742,7.513727119990757
dgeom-r16-injwarm512-only,3090,703,high_pair_abs_cos_p95,16,0.7916244694164821,1,0,44,612,0.7916244694164821,0.009290555092905248,12.999912057604108,7.225060156413487
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,1,2.272201725414821,1,1,50,28672,0.9987561617578778,2.272201725414821,313.2969643729074,1.0840582421847753
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,2,0.11080714182129928,1,1,12,28672,0.9999284701687949,0.11080714182129928,1247.228227887835,1.0054266027041845
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,3,0.09331285580992699,1,1,48,28672,0.9999726627554212,0.09331285580992699,1930.7481515066963,1.002125825200762
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,4,0.0792044715157577,1,1,63,28672,0.9999788318361554,0.0792044715157577,2345.30606515067,1.0023356165204729
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,5,0.01103644079661795,1,0,32,893,0.6378619117396218,0.01103644079661795,5.573545149394444,10.980715070452009
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,6,0.010113225651106663,1,0,27,177,0.6550223188740867,0.010113225651106663,13.7718106508255,5.672767060143607
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,7,0.009949317201972008,1,0,25,657,0.6782068993364062,0.009949317201972008,9.0971485887255,9.114006178719658
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,8,0.009909100930339523,1,0,59,834,0.7531459970133645,0.009909100930339523,7.846323898860386,8.591103383472987
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,9,0.009814563041020716,1,0,40,486,0.6615881621837616,0.009814563041020716,20.168299504688807,8.506836652755737
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,10,0.00975737627595663,1,0,36,292,0.6600510478019714,0.00975737627595663,49.37665050370352,6.499526739120483
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,11,0.009718714248655098,1,0,58,536,0.6326313614845276,0.009718714248655098,12.7547025680542,9.269031047821045
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,12,0.009690390234547002,1,0,37,674,0.6573905178478786,0.009690390234547002,11.554186276027135,9.057913030896868
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,13,0.009626119663672788,1,0,61,484,0.6406567479882922,0.009626119663672788,17.88215775149209,9.222738913127355
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,14,0.009618980311123388,1,0,18,414,0.7083090586321694,0.009618980311123388,19.759332418441772,7.035579545157296
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,15,0.009472762666908758,1,0,31,734,0.6650151652949197,0.009472762666908758,9.188786915370397,9.492295605795723
dgeom-r16-injwarm512-only,3090,703,high_update_norm_p95,16,0.009464713212634836,1,0,34,246,0.6361025720834732,0.009464713212634836,11.411255793912071,6.4287269115448
dgeom-r16-injwarm512-only,3090,703,high_condition_number,1,2345.30606515067,1,1,63,28672,0.9999788318361554,0.0792044715157577,2345.30606515067,1.0023356165204729
dgeom-r16-injwarm512-only,3090,703,high_condition_number,2,1930.7481515066963,1,1,48,28672,0.9999726627554212,0.09331285580992699,1930.7481515066963,1.002125825200762
dgeom-r16-injwarm512-only,3090,703,high_condition_number,3,1715.1219827395219,1,0,4,51,0.6914044469594955,0.006161873703464293,1715.1219827395219,2.1134001291715183
dgeom-r16-injwarm512-only,3090,703,high_condition_number,4,1247.228227887835,1,1,12,28672,0.9999284701687949,0.11080714182129928,1247.228227887835,1.0054266027041845
dgeom-r16-injwarm512-only,3090,703,high_condition_number,5,836.7611467288091,1,0,49,57,0.7685130292719061,0.004026240413972678,836.7611467288091,2.116532793411842
