variant,machine,optimizer_step,layer_idx,head_idx,code_idx,num_groups,num_events_sum,num_pairs_sampled_sum,pair_abs_cos_mean_mean,pair_abs_cos_mean_max,pair_abs_cos_mean_min,pair_abs_cos_p95_mean,pair_abs_cos_p95_max,pair_abs_cos_p95_min,pair_abs_cos_max_mean,pair_abs_cos_max_max,pair_abs_cos_max_min,signed_cos_mean_mean,signed_cos_mean_max,signed_cos_mean_min,resultant_length_mean,resultant_length_max,resultant_length_min,effective_rank_mean,effective_rank_max,effective_rank_min,condition_number_mean,condition_number_max,condition_number_min,update_norm_mean_mean,update_norm_mean_max,update_norm_mean_min,update_norm_p95_mean,update_norm_p95_max,update_norm_p95_min,update_norm_max_mean,update_norm_max_max,update_norm_max_min,write_strength_mean_mean,write_strength_mean_max,write_strength_mean_min,raw_topk_mass_mean_mean,raw_topk_mass_mean_max,raw_topk_mass_mean_min,addr_z_norm_mean_mean,addr_z_norm_mean_max,addr_z_norm_mean_min
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,13,20,645,0,0.28781850561499595,0.38749960064888,0.2380950152873993,0.6153994411230087,0.8165746331214905,0.5105128288269043,0.8859197646379471,0.9999991655349731,0.6368555426597595,0.2606930948793888,0.36590129137039185,0.19180645048618317,0.547156323492527,0.6446584463119507,0.47734639048576355,8.639894914627074,11.656319618225098,5.068837642669678,398.3619902610779,7669.38916015625,3.9098501205444336,0.021398882009088994,0.03825625777244568,0.013341713696718216,0.046920901350677016,0.08868366479873657,0.02276865765452385,0.0553674329072237,0.11156870424747467,0.024912584573030472,0.0042157087824307386,0.005495486781001091,0.003030266845598817,0.3290341541171074,0.3537721335887909,0.29728466272354126,2.026285487413406,2.1624302864074707,1.8046603202819824
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,14,20,607,0,0.26293196007609365,0.32214435935020447,0.19764626026153564,0.5907678723335266,0.7392554879188538,0.42629122734069824,0.853398671746254,0.9999966025352478,0.47300899028778076,0.20815795585513114,0.27303388714790344,0.09701195359230042,0.5015264257788659,0.5585041046142578,0.4294435977935791,8.96141049861908,11.664923667907715,5.5749897956848145,10.604389464855194,30.668548583984375,3.565398693084717,0.01938695851713419,0.029769331216812134,0.012582185678184032,0.04508263012394309,0.07614410668611526,0.026319116353988647,0.0554734967648983,0.09390759468078613,0.02646179124712944,0.003742783598136157,0.0055018458515405655,0.0028545919340103865,0.37116016894578935,0.40210461616516113,0.3237817883491516,1.867159229516983,1.9961073398590088,1.6845760345458984
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,15,20,869,0,0.2550167076289654,0.2914133071899414,0.21672268211841583,0.6065784454345703,0.6814611554145813,0.49901890754699707,0.9141112416982651,0.9999991655349731,0.7039586305618286,0.2061391703784466,0.2535257041454315,0.13323944807052612,0.4835811972618103,0.5669100880622864,0.41774842143058777,10.143100666999818,12.14307689666748,6.568911552429199,13.580866265296937,82.79232025146484,4.0299153327941895,0.02126587722450495,0.029375340789556503,0.012796513736248016,0.0489061432890594,0.0753968209028244,0.027950182557106018,0.06129324957728386,0.12649789452552795,0.031188614666461945,0.0041958810295909645,0.005853503942489624,0.0026345280930399895,0.3810110926628113,0.41024935245513916,0.3503391444683075,1.8816948115825654,2.0793769359588623,1.6539034843444824
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,16,20,567,0,0.22432610616087914,0.2695431113243103,0.17019614577293396,0.5475743055343628,0.6851032972335815,0.40350601077079773,0.8367204368114471,0.9999985098838806,0.453041136264801,0.13353076297789812,0.20187222957611084,0.01804511249065399,0.4259428232908249,0.5367978811264038,0.327587753534317,9.593896532058716,12.84550952911377,6.323307991027832,67.68464493751526,980.599853515625,2.8640449047088623,0.021672565629705785,0.037864260375499725,0.013454128988087177,0.04227273128926754,0.07518208026885986,0.02380644530057907,0.05071358596906066,0.09245169162750244,0.024302387610077858,0.004117202770430595,0.005350220482796431,0.0025626278948038816,0.3167723178863525,0.34905683994293213,0.27879148721694946,1.7578167974948884,1.962968349456787,1.5626546144485474
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,17,6,11,0,0.7049043774604797,0.9752742648124695,0.43453449010849,0.8078630268573761,0.9962932467460632,0.619432806968689,0.8121057450771332,0.9999964237213135,0.6242150664329529,0.6911937594413757,0.9752742648124695,0.407113254070282,0.9561553001403809,1.0000001192092896,0.7452079653739929,1.3212275902430217,2.839858293533325,1.0,155.04270215829214,922.4118041992188,1.0,0.013193192270894846,0.017775407060980797,0.010785698890686035,0.015546233238031467,0.024665959179401398,0.011046023108065128,0.015808870395024616,0.026019716635346413,0.011046023108065128,0.00228538525213177,0.0026729132514446974,0.0017993649234995246,0.3228146880865097,0.39405500888824463,0.2286333441734314,1.890680770079295,2.2235000133514404,1.2370903491973877
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,18,20,610,0,0.3214405030012131,0.4286378026008606,0.2535165548324585,0.6565226674079895,0.7912426590919495,0.5024890899658203,0.9237736761569977,0.9999994039535522,0.5408478379249573,0.29945333674550056,0.4286378026008606,0.22103816270828247,0.5748845040798187,0.7071478962898254,0.4842195510864258,8.411083698272705,11.469182968139648,4.516827583312988,24.562807416915895,127.21702575683594,4.439589977264404,0.025451621739193797,0.043225377798080444,0.014246874488890171,0.06002653893083334,0.10022151470184326,0.033346373587846756,0.06896768677979707,0.10944701731204987,0.034247614443302155,0.004962932167109102,0.006578430533409119,0.003091518534347415,0.40034071654081343,0.49604231119155884,0.3518490195274353,1.922104400396347,2.0569303035736084,1.7020032405853271
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,19,20,30788,0,0.8113201349973679,0.8517601490020752,0.7703540325164795,0.9707013368606567,0.9828277826309204,0.9553759098052979,0.991423761844635,0.9964807033538818,0.9866249561309814,0.8006170600652694,0.8490025997161865,0.7464367747306824,0.8948495924472809,0.9222617149353027,0.8618883490562439,2.322116327285767,2.452749252319336,2.109307050704956,15.719910860061646,17.352970123291016,14.464859962463379,0.003110055474098772,0.0072068809531629086,0.001552954432554543,0.02175653101876378,0.07089674472808838,0.00481928326189518,0.09021341204643249,0.1309894621372223,0.061408646404743195,0.0006189350548083894,0.0009866005275398493,0.0003597770701162517,0.7628479480743409,0.7735517621040344,0.7498597502708435,1.4565441131591796,1.4659783840179443,1.4431664943695068
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,20,20,411,0,0.3054777666142112,0.3414906859397888,0.22597426176071167,0.6072837349615599,0.6808930039405823,0.43702811002731323,0.8211476002868853,0.9685529470443726,0.4675593376159668,0.28718499055034236,0.3339627683162689,0.22597426176071167,0.6154057800769805,0.9999999403953552,0.554819643497467,6.852466726303101,9.674278259277344,1.0,26.286933648586274,257.7431335449219,1.0,0.026495723519474268,0.050573162734508514,0.0170231144875288,0.04865968460217118,0.09401029348373413,0.02511386014521122,0.056046843994408846,0.10107474774122238,0.02511386014521122,0.004892149893566966,0.008412953466176987,0.0033223938662558794,0.28287397474050524,0.31286102533340454,0.2512601613998413,1.9760092198848724,2.135437250137329,1.623401403427124
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,21,20,2304,0,0.5679608270525932,0.7901122570037842,0.2608572542667389,0.8690514206886292,0.9936628937721252,0.5852631330490112,0.9869371950626373,0.9999997615814209,0.9644354581832886,0.5467054039239884,0.788164496421814,0.19241440296173096,0.7216249287128449,0.8860264420509338,0.4497365951538086,5.931517720222473,11.858369827270508,2.4873063564300537,11.561501002311706,18.38206672668457,4.282332420349121,0.011323400714900345,0.02841072529554367,0.002611776813864708,0.0409219142049551,0.0811886116862297,0.012643015943467617,0.0644578080624342,0.10349341481924057,0.042540352791547775,0.002198123166454025,0.00567227927967906,0.0005840871599502861,0.6141121432185173,0.7350602149963379,0.4470564126968384,1.8458811402320863,1.9619439840316772,1.7601057291030884
dgeom-r16-update-softcap0p5-injwarm512,3090,512,1,0,22,20,457,0,0.26565986722707746,0.35583990812301636,0.19951213896274567,0.5671834334731102,0.6634978652000427,0.44138991832733154,0.8298159867525101,0.9999945163726807,0.4765136241912842,0.21638143695890905,0.34264299273490906,0.07301928848028183,0.5280501961708068,0.6885596513748169,0.411293089389801,8.138767468929291,11.327000617980957,3.3445560932159424,104.02277951240539,1860.6640625,2.3197431564331055,0.025058720214292406,0.04251432046294212,0.01538274995982647,0.05059981429949403,0.08258888870477676,0.022165553644299507,0.057629975490272045,0.09366892278194427,0.023507773876190186,0.004847980826161802,0.007543585263192654,0.0031774623785167933,0.3077049657702446,0.3324293792247772,0.24836516380310059,1.9233788847923279,2.1626667976379395,1.6781005859375
