config,run_id,source,run_type,gpu,seed,data_seed,cb,rank,train_batch_size,gradient_accumulation_steps,effective_train_batch_size,configured_max_epochs,early_stopping_disabled,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.93232421875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.99534375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,1.0
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.99065625
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,3,mid_epoch,1.5,1,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.999875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.94287890625
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99521875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.993109375
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.985921875
cb256-r8-s125-d123-b128-ga2-probe,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-b128-ga2-probe,batch128_ga2_probe,batch_accum_probe,0,125,123,256,8,128,2,256,4,True,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
