-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              aten::ger         0.06%       7.226ms         1.24%     159.303ms      25.928us       0.000us         0.00%      17.435ms       2.838us           0 b           0 b      24.00 Mb           0 b          6144
                                              aten::sum         3.16%     405.497ms         4.57%     587.175ms      20.252us     144.483ms         3.36%     144.483ms       4.983us           0 b           0 b      15.61 Mb      15.61 Mb         28994
                                           aten::einsum         0.00%     416.660us         0.04%       4.925ms     328.352us       0.000us         0.00%     279.645us      18.643us           0 b           0 b      14.51 Mb           0 b            15
                                          aten::reshape         0.25%      31.791ms         0.72%      92.003ms       4.411us       0.000us         0.00%      85.601us       0.004us           0 b           0 b      14.02 Mb           0 b         20857
                                            MmBackward0         0.00%      82.266us         0.04%       5.111ms       1.704ms       0.000us         0.00%     443.837us     147.946us           0 b           0 b      13.94 Mb           0 b             3
                                              aten::sub         0.81%     104.620ms         1.21%     155.230ms      18.795us      17.174ms         0.40%      17.174ms       2.079us         396 b           0 b      13.59 Mb      13.59 Mb          8259
                                              aten::neg         0.48%      61.198ms         0.84%     108.361ms      17.551us      13.211ms         0.31%      13.211ms       2.140us           0 b           0 b      11.73 Mb      11.73 Mb          6174
                                       aten::contiguous         0.00%      39.328us         0.06%       7.462ms     298.490us       0.000us         0.00%     101.276us       4.051us           0 b           0 b      10.52 Mb           0 b            25
                                           DivBackward0         0.00%     183.390us         0.01%     940.259us      78.355us       0.000us         0.00%     191.582us      15.965us           0 b           0 b      10.30 Mb      -9.45 Mb            12
                              Optimizer.step#AdamW.step         0.02%       2.616ms         0.35%      45.284ms      45.284ms       0.000us         0.00%     291.457us     291.457us         104 b          -4 b       9.04 Mb      -4.52 Mb             1
                                            aten::addmm         0.01%       1.221ms         0.14%      18.254ms       4.563ms      40.544us         0.00%      40.544us      10.136us           0 b           0 b       8.65 Mb       4.65 Mb             4
                                           SubBackward0         0.11%      13.800ms         0.89%     114.857ms      18.634us       0.000us         0.00%      13.173ms       2.137us           0 b           0 b       8.55 Mb           0 b          6164
                                          ViewBackward0         0.11%      13.829ms         0.27%      34.085ms       5.472us       0.000us         0.00%      44.064us       0.007us           0 b           0 b       7.77 Mb           0 b          6229
                                               aten::mv         0.68%      86.930ms         3.36%     432.087ms      30.140us       0.000us         0.00%      39.919ms       2.785us           0 b           0 b       7.00 Mb           0 b         14336
                                              aten::exp         0.92%     118.568ms         1.37%     176.429ms      21.500us      16.855ms         0.39%      16.855ms       2.054us           0 b           0 b       6.53 Mb       6.53 Mb          8206
                                      aten::masked_fill         0.00%     236.747us         0.01%       1.060ms      27.173us       0.000us         0.00%      57.375us       1.471us         396 b           0 b       6.00 Mb           0 b            39
      autograd::engine::evaluate_function: SubBackward0         0.26%      33.781ms         1.16%     148.739ms      24.130us       0.000us         0.00%      13.203ms       2.142us           0 b           0 b       5.59 Mb      -3.01 Mb          6164
                                           ExpBackward0         0.17%      21.777ms         0.93%     119.885ms      19.478us       0.000us         0.00%      13.054ms       2.121us           0 b           0 b       5.52 Mb           0 b          6155
                       flashvqg/attn/phase1/project_qkv         0.01%     753.272us        11.63%        1.495s        1.495s       0.000us         0.00%     890.472ms     890.472ms          16 b          16 b       5.06 Mb      -3.98 Mb             1
                                            aten::where         0.00%     419.379us         0.01%       1.143ms      38.098us      78.624us         0.00%      95.489us       3.183us           0 b           0 b       4.69 Mb      -2.00 Kb            30
                                    aten::_foreach_sqrt         0.00%      79.534us         0.17%      22.147ms      22.147ms      23.648us         0.00%      23.648us      23.648us           0 b           0 b       4.52 Mb           0 b             1
               aten::value_selecting_reduction_backward         0.00%      28.847us         0.00%     321.070us      64.214us       0.000us         0.00%      36.671us       7.334us           0 b           0 b       4.00 Mb           0 b             5
                                     EmbeddingBackward0         0.00%       4.865us         0.01%     999.466us     999.466us       0.000us         0.00%      34.112us      34.112us           0 b           0 b       4.00 Mb           0 b             1
                               aten::embedding_backward         0.00%       4.096us         0.01%     994.601us     994.601us       0.000us         0.00%      34.112us      34.112us           0 b           0 b       4.00 Mb           0 b             1
                         aten::embedding_dense_backward         0.00%      13.017us         0.01%     990.505us     990.505us      26.400us         0.00%      34.112us      34.112us           0 b           0 b       4.00 Mb           0 b             1
                                    MaskedFillBackward0         0.00%      28.288us         0.00%     197.792us      65.931us       0.000us         0.00%      28.160us       9.387us           0 b           0 b       3.00 Mb           0 b             3
                        flashvqg/attn/phase2/local_path         0.01%     675.509us         0.08%      10.557ms      10.557ms       0.000us         0.00%      97.567us      97.567us           0 b           0 b       2.63 Mb      -2.64 Mb             1
                                       aten::layer_norm         0.00%      19.367us         0.01%     842.480us     168.496us       0.000us         0.00%      45.087us       9.017us           0 b           0 b       2.54 Mb           0 b             5
                                aten::native_layer_norm         0.00%     141.925us         0.01%     823.113us     164.623us      38.719us         0.00%      45.087us       9.017us           0 b           0 b       2.54 Mb    -512.00 Kb             5
                              flashvqg/attn/output_proj         0.00%     229.373us         7.57%     972.053ms     972.053ms       0.000us         0.00%     933.219ms     933.219ms           0 b           0 b       2.51 Mb           0 b             1
                               NativeLayerNormBackward0         0.00%      31.093us         0.00%     296.905us      59.381us       0.000us         0.00%      86.114us      17.223us           0 b           0 b       2.50 Mb           0 b             5
                       aten::native_layer_norm_backward         0.00%      71.374us         0.00%     265.812us      53.162us      80.706us         0.00%      86.114us      17.223us           0 b           0 b       2.50 Mb    -512.00 Kb             5
                                           MaxBackward0         0.00%       9.002us         0.00%     149.968us      74.984us       0.000us         0.00%      12.864us       6.432us           0 b           0 b       2.50 Mb           0 b             2
                                  aten::constant_pad_nd         0.00%     141.301us         0.01%     794.912us      46.760us       0.000us         0.00%      67.871us       3.992us           0 b           0 b       2.33 Mb           0 b            17
                                        aten::clamp_min         0.00%     327.596us         0.09%      12.010ms     632.129us      42.015us         0.00%      42.015us       2.211us           0 b           0 b       2.07 Mb       2.07 Mb            19
                                              aten::log         0.00%      76.474us         0.02%       2.807ms     561.359us      11.680us         0.00%      11.680us       2.336us           0 b           0 b       2.07 Mb       2.07 Mb             5
                                         AddmmBackward0         0.00%      44.970us         0.00%     345.925us      86.481us       0.000us         0.00%      67.586us      16.896us           0 b           0 b       2.07 Mb           0 b             4
                                        GatherBackward0         0.00%       8.681us         0.00%     159.954us      79.977us       0.000us         0.00%      11.680us       5.840us           0 b           0 b       2.00 Mb           0 b             2
                                  aten::gather_backward         0.00%      12.376us         0.00%     151.273us      75.637us       0.000us         0.00%      11.680us       5.840us           0 b           0 b       2.00 Mb           0 b             2
                                          aten::softmax         0.00%       9.958us         0.07%       8.360ms       8.360ms       0.000us         0.00%       9.856us       9.856us           0 b           0 b       2.00 Mb           0 b             1
                                         aten::_softmax         0.00%      54.782us         0.06%       8.350ms       8.350ms       4.576us         0.00%       9.856us       9.856us           0 b           0 b       2.00 Mb           0 b             1
                                       SoftmaxBackward0         0.00%      10.621us         0.00%      63.498us      63.498us       0.000us         0.00%      15.680us      15.680us           0 b           0 b       2.00 Mb           0 b             1
                           aten::_softmax_backward_data         0.00%      15.805us         0.00%      52.877us      52.877us       6.592us         0.00%      15.680us      15.680us           0 b           0 b       2.00 Mb           0 b             1
      autograd::engine::evaluate_function: MaxBackward0         0.00%      24.005us         0.00%     185.363us      92.682us       0.000us         0.00%      15.520us       7.760us           0 b           0 b       1.95 Mb    -560.00 Kb             2
    autograd::engine::evaluate_function: AddmmBackward0         0.00%      57.197us         0.00%     499.828us     124.957us       0.000us         0.00%      98.498us      24.625us           0 b           0 b       1.54 Mb    -536.00 Kb             4
                                      LayerNormFunction         5.77%     740.979ms        11.57%        1.486s     742.982ms      14.464ms         0.34%     890.373ms     445.186ms           0 b      -6.75 Kb       1.52 Mb      -2.25 Gb             2
                                          TopkBackward0         0.00%      22.574us         0.00%     202.678us      67.559us       0.000us         0.00%      23.807us       7.936us           0 b           0 b       1.50 Mb           0 b             3
     autograd::engine::evaluate_function: TopkBackward0         0.00%      28.906us         0.00%     231.584us      77.195us       0.000us         0.00%      23.807us       7.936us           0 b           0 b       1.43 Mb     -72.00 Kb             3
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 12.848s
Self CUDA time total: 4.304s
