-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              aten::sub         0.81%     104.620ms         1.21%     155.230ms      18.795us      17.174ms         0.40%      17.174ms       2.079us         396 b           0 b      13.59 Mb      13.59 Mb          8259
                                              aten::exp         0.92%     118.568ms         1.37%     176.429ms      21.500us      16.855ms         0.39%      16.855ms       2.054us           0 b           0 b       6.53 Mb       6.53 Mb          8206
                                  layer_norm_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.464ms         0.34%      14.464ms       6.749us           0 b           0 b           0 b           0 b          2143
                                              aten::neg         0.48%      61.198ms         0.84%     108.361ms      17.551us      13.211ms         0.31%      13.211ms       2.140us           0 b           0 b      11.73 Mb      11.73 Mb          6174
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.211ms         0.31%      13.211ms       2.140us           0 b           0 b           0 b           0 b          6174
      autograd::engine::evaluate_function: SubBackward0         0.26%      33.781ms         1.16%     148.739ms      24.130us       0.000us         0.00%      13.203ms       2.142us           0 b           0 b       5.59 Mb      -3.01 Mb          6164
                                           SubBackward0         0.11%      13.800ms         0.89%     114.857ms      18.634us       0.000us         0.00%      13.173ms       2.137us           0 b           0 b       8.55 Mb           0 b          6164
      autograd::engine::evaluate_function: ExpBackward0         0.34%      43.360ms         1.27%     163.245ms      26.522us       0.000us         0.00%      13.054ms       2.121us           0 b           0 b      -5.52 Mb     -11.05 Mb          6155
                                           ExpBackward0         0.17%      21.777ms         0.93%     119.885ms      19.478us       0.000us         0.00%      13.054ms       2.121us           0 b           0 b       5.52 Mb           0 b          6155
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.707ms         0.30%      12.707ms       5.610us           0 b           0 b           0 b           0 b          2265
                                            aten::clone         0.13%      16.455ms         0.83%     106.091ms      23.819us       0.000us         0.00%      11.501ms       2.582us         396 b           0 b     196.58 Mb           0 b          4454
                        flashvqg/attn/phase2/local_path         0.00%       0.000us         0.00%       0.000us       0.000us      10.218ms         0.24%      10.218ms      10.218ms           0 b           0 b           0 b           0 b             1
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       9.914ms         0.23%       9.914ms       0.855us           0 b           0 b           0 b           0 b         11592
                                             aten::item         0.11%      14.687ms         1.37%     175.629ms      15.035us       0.000us         0.00%       9.906ms       0.848us           0 b           0 b           0 b           0 b         11681
                              aten::_local_scalar_dense         0.47%      59.788ms         1.25%     160.941ms      13.778us       9.906ms         0.23%       9.906ms       0.848us           0 b           0 b           0 b           0 b         11681
                                       aten::zeros_like         0.10%      13.122ms         0.82%     104.932ms      23.789us       0.000us         0.00%       9.732ms       2.206us           0 b           0 b      65.15 Mb           0 b          4411
                         torch::autograd::CopyBackwards         0.17%      22.259ms         0.94%     121.386ms      27.860us       0.000us         0.00%       9.617ms       2.207us           0 b           0 b      51.98 Mb           0 b          4357
                                  layer_norm_bwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.463ms         0.20%       8.463ms       5.601us           0 b           0 b           0 b           0 b          1511
