-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            MvBackward0         0.19%      38.670ms         2.09%     434.046ms      70.646us       0.000us         0.00%      36.709ms       5.975us           0 b           0 b      27.00 Mb           0 b          6144  
                                     AsStridedBackward0         0.00%      42.053us         0.00%     214.539us      71.513us       0.000us         0.00%     150.784us      50.261us           0 b           0 b      24.00 Mb           0 b             3  
                                        aten::index_put         0.00%      14.371us         0.00%     153.499us      51.166us       0.000us         0.00%     180.512us      60.171us           0 b           0 b      24.00 Mb           0 b             3  
                                              aten::ger         0.04%       7.768ms         0.82%     170.380ms      27.731us       0.000us         0.00%      17.919ms       2.917us           0 b           0 b      24.00 Mb           0 b          6144  
                       gd_residual/phase2_residual_read         0.00%     247.022us         0.00%       1.006ms       1.006ms       0.000us         0.00%     284.384us     284.384us           0 b           0 b      22.33 Mb      -2.02 Mb             1  
                                              aten::sub         1.26%     260.421ms         1.93%     399.569ms      18.975us      45.468ms         0.92%      45.468ms       2.159us         396 b           0 b      18.79 Mb      18.79 Mb         21058  
                                           aten::gather         0.00%     347.202us         0.01%       2.809ms      40.135us      75.999us         0.00%      75.999us       1.086us         792 b         792 b      17.02 Mb      17.02 Mb            70  
                                              aten::div         0.00%     879.718us         0.04%       8.368ms     132.824us     202.814us         0.00%     202.814us       3.219us           0 b           0 b      15.93 Mb      15.93 Mb            63  
                                            MmBackward0         0.00%      48.648us         0.02%       4.987ms       1.662ms       0.000us         0.00%     436.447us     145.482us           0 b           0 b      14.51 Mb           0 b             3  
                                              aten::neg         0.76%     157.440ms         1.31%     272.309ms      17.274us      35.663ms         0.72%      35.663ms       2.262us           0 b           0 b      14.37 Mb      14.37 Mb         15764  
                                           SubBackward0         0.20%      40.867ms         1.48%     306.261ms      19.440us       0.000us         0.00%      35.621ms       2.261us           0 b           0 b      12.20 Mb           0 b         15754  
      autograd::engine::evaluate_function: SubBackward0         0.48%      99.251ms         1.96%     405.594ms      25.745us       0.000us         0.00%      35.646ms       2.263us           0 b           0 b      10.23 Mb      -2.01 Mb         15754  
                                          aten::reshape         0.17%      34.577ms         0.47%      96.482ms       4.643us       0.000us         0.00%      83.169us       0.004us           0 b           0 b      10.02 Mb           0 b         20780  
                                           aten::einsum         0.00%     466.980us         0.03%       6.632ms     442.132us       0.000us         0.00%     250.560us      16.704us           0 b           0 b       9.51 Mb           0 b            15  
                              Optimizer.step#AdamW.step         0.02%       3.494ms         0.26%      53.506ms      53.506ms       0.000us         0.00%     290.627us     290.627us         104 b          -4 b       8.92 Mb      -4.46 Mb             1  
                                            aten::addmm         0.01%       1.306ms         0.09%      18.952ms       4.738ms      39.711us         0.00%      39.711us       9.928us           0 b           0 b       8.65 Mb       4.65 Mb             4  
                                              aten::exp         0.84%     174.841ms         1.24%     256.843ms      20.039us      28.634ms         0.58%      28.634ms       2.234us           0 b           0 b       7.76 Mb       7.76 Mb         12817  
                                       aten::contiguous         0.00%      47.086us         0.04%       7.804ms     312.163us       0.000us         0.00%      99.648us       3.986us           0 b           0 b       7.52 Mb           0 b            25  
                                               aten::mv         0.43%      88.872ms         2.12%     440.426ms      30.722us       0.000us         0.00%      41.454ms       2.892us           0 b           0 b       7.00 Mb           0 b         14336  
                                           DivBackward0         0.00%     156.524us         0.00%     944.340us      78.695us       0.000us         0.00%     161.596us      13.466us           0 b           0 b       6.30 Mb      -6.45 Mb            12  
                                           ExpBackward0         0.20%      40.701ms         1.02%     211.833ms      22.057us       0.000us         0.00%      22.028ms       2.294us           0 b           0 b       6.19 Mb           0 b          9604  
                       flashvqg/attn/phase1/project_qkv         0.02%       3.310ms         7.32%        1.519s        1.519s       0.000us         0.00%     877.761ms     877.761ms          16 b          16 b       5.06 Mb      -3.98 Mb             1  
                                          ViewBackward0         0.07%      13.803ms         0.17%      35.751ms       5.742us       0.000us         0.00%      42.721us       0.007us           0 b           0 b       4.77 Mb           0 b          6226  
                                    aten::_foreach_sqrt         0.00%      77.807us         0.11%      22.049ms      22.049ms      23.200us         0.00%      23.200us      23.200us           0 b           0 b       4.46 Mb           0 b             1  
                                      aten::masked_fill         0.00%     286.885us         0.01%       1.172ms      30.062us       0.000us         0.00%      43.678us       1.120us         396 b           0 b       4.00 Mb           0 b            39  
                                     EmbeddingBackward0         0.00%       4.251us         0.00%       1.025ms       1.025ms       0.000us         0.00%      34.688us      34.688us           0 b           0 b       4.00 Mb           0 b             1  
                               aten::embedding_backward         0.00%       4.322us         0.00%       1.020ms       1.020ms       0.000us         0.00%      34.688us      34.688us           0 b           0 b       4.00 Mb           0 b             1  
                         aten::embedding_dense_backward         0.00%      13.626us         0.00%       1.016ms       1.016ms      26.176us         0.00%      34.688us      34.688us           0 b           0 b       4.00 Mb           0 b             1  
                        flashvqg/attn/phase2/local_path         0.02%       5.029ms         0.07%      14.930ms      14.930ms       0.000us         0.00%     100.608us     100.608us           0 b           0 b       2.63 Mb      -2.64 Mb             1  
                                       aten::layer_norm         0.00%      19.676us         0.00%     839.759us     167.952us       0.000us         0.00%      45.121us       9.024us           0 b           0 b       2.54 Mb           0 b             5  
