-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::neg         0.72%     155.711ms         1.28%     275.093ms      16.516us      37.588ms         0.69%      37.588ms       2.257us           0 b           0 b      16.81 Mb      16.81 Mb         16656  
                                              aten::sum         1.89%     408.143ms         2.77%     596.256ms      20.565us     148.487ms         2.74%     148.487ms       5.121us           0 b           0 b      15.61 Mb      15.61 Mb         28994  
                                           aten::einsum         0.00%     486.966us         0.02%       4.853ms     323.552us       0.000us         0.00%     281.249us      18.750us           0 b           0 b      14.51 Mb           0 b            15  
                                          aten::reshape         0.15%      33.257ms         0.44%      94.385ms       4.541us       0.000us         0.00%      85.535us       0.004us           0 b           0 b      14.02 Mb           0 b         20787  
                                            MmBackward0         0.00%      46.918us         0.02%       5.025ms       1.675ms       0.000us         0.00%     433.471us     144.490us           0 b           0 b      13.94 Mb           0 b             3  
                                           SubBackward0         0.19%      40.744ms         1.43%     309.098ms      18.569us       0.000us         0.00%      37.552ms       2.256us           0 b           0 b      13.63 Mb           0 b         16646  
      autograd::engine::evaluate_function: SubBackward0         0.46%     100.147ms         1.90%     409.322ms      24.590us       0.000us         0.00%      37.578ms       2.257us           0 b           0 b      10.67 Mb      -3.01 Mb         16646  
                                       aten::contiguous         0.00%      40.986us         0.04%       7.624ms     304.951us       0.000us         0.00%     102.592us       4.104us           0 b           0 b      10.52 Mb           0 b            25  
                                           DivBackward0         0.00%     146.489us         0.00%     932.442us      77.703us       0.000us         0.00%     174.656us      14.555us           0 b           0 b      10.30 Mb      -9.45 Mb            12  
                                              aten::exp         0.86%     185.889ms         1.26%     270.848ms      19.357us      31.165ms         0.57%      31.165ms       2.227us           0 b           0 b       9.34 Mb       9.34 Mb         13992  
                              Optimizer.step#AdamW.step         0.02%       3.575ms         0.25%      52.854ms      52.854ms       0.000us         0.00%     289.954us     289.954us         104 b          -4 b       9.04 Mb      -4.52 Mb             1  
                                            aten::addmm         0.01%       1.909ms         0.09%      19.212ms       4.803ms      39.968us         0.00%      39.968us       9.992us           0 b           0 b       8.65 Mb       4.65 Mb             4  
