machine,model,checkpoint_role,train_precision,eval_precision,shape,num_examples,n_seeds,accuracy_mean,accuracy_population_std
2080ti,gdn,best,fp32,fp16,64x16,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp16,64x4,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp16,64x8,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp16,8190x2047,500,3,0.0033727406369677432,0.00021663121728346716
2080ti,gdn,best,fp32,fp16,8190x512,500,3,0.29348958333333336,0.0017991842422934385
2080ti,gdn,best,fp32,fp32,1024x256,500,3,0.9685182291666667,0.0018894875768184934
2080ti,gdn,best,fp32,fp32,1024x256,1000,3,0.9686927083333333,0.0017654127745487713
2080ti,gdn,best,fp32,fp32,128x32,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp32,2048x512,500,3,0.4761106770833333,0.00477945539804586
2080ti,gdn,best,fp32,fp32,256x64,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp32,4096x1024,500,3,0.07272200520833333,0.00268613006609655
2080ti,gdn,best,fp32,fp32,512x128,1000,3,0.9999583333333333,1.327869664999381e-05
2080ti,gdn,best,fp32,fp32,512x64,1000,3,0.9992604166666667,4.830009633069798e-05
2080ti,gdn,best,fp32,fp32,64x16,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp32,64x4,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp32,64x8,1000,3,1.0,0.0
2080ti,gdn,best,fp32,fp32,8190x2047,500,3,0.0033779515142862994,0.00021474185010969397
2080ti,gdn,best,fp32,fp32,8190x512,500,3,0.29357812499999997,0.0018057637934137997
2080ti,gdn,last,fp16,fp16,1024x256,500,3,0.9686067708333334,0.0018493177467574996
2080ti,gdn,last,fp16,fp16,1024x256,1000,3,0.96873046875,0.0017247970093049732
2080ti,gdn,last,fp16,fp16,128x32,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp16,2048x512,500,3,0.47625260416666665,0.004703447625862071
2080ti,gdn,last,fp16,fp16,256x64,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp16,4096x1024,500,3,0.07278190104166667,0.0026628815490479397
2080ti,gdn,last,fp16,fp16,512x128,1000,3,0.9999583333333333,1.327869664999381e-05
2080ti,gdn,last,fp16,fp16,512x64,1000,3,0.999265625,4.419417382416089e-05
2080ti,gdn,last,fp16,fp16,64x16,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp16,64x4,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp16,64x8,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp16,8190x2047,500,3,0.0033821853556049368,0.00022325776079615305
2080ti,gdn,last,fp16,fp16,8190x512,500,3,0.29361458333333335,0.0017725663624619593
2080ti,gdn,last,fp16,fp32,1024x256,500,3,0.9686041666666667,0.0018302642101601493
2080ti,gdn,last,fp16,fp32,1024x256,1000,3,0.9687434895833333,0.0017341677491286558
2080ti,gdn,last,fp16,fp32,128x32,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp32,2048x512,500,3,0.47630208333333335,0.0047426458169062165
2080ti,gdn,last,fp16,fp32,256x64,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp32,4096x1024,500,3,0.07280468749999999,0.0026692143032631898
2080ti,gdn,last,fp16,fp32,512x128,1000,3,0.9999583333333333,1.327869664999381e-05
2080ti,gdn,last,fp16,fp32,512x64,1000,3,0.999265625,4.419417382416089e-05
2080ti,gdn,last,fp16,fp32,64x16,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp32,64x4,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp32,64x8,1000,3,1.0,0.0
2080ti,gdn,last,fp16,fp32,8190x2047,500,3,0.0033847907930612564,0.00022182934832280714
2080ti,gdn,last,fp16,fp32,8190x512,500,3,0.2936640625,0.00178423144580897
2080ti,gdn,last,fp32,fp16,1024x256,500,3,0.9685182291666666,0.0018744610047050493
2080ti,gdn,last,fp32,fp16,1024x256,1000,3,0.9686861979166667,0.001760253898725225
2080ti,gdn,last,fp32,fp16,128x32,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp16,2048x512,500,3,0.47604296875,0.004750765554741643
2080ti,gdn,last,fp32,fp16,256x64,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp16,4096x1024,500,3,0.07270442708333334,0.0026838601868686114
2080ti,gdn,last,fp32,fp16,512x128,1000,3,0.9999583333333333,1.327869664999381e-05
2080ti,gdn,last,fp32,fp16,512x64,1000,3,0.999265625,4.419417382416089e-05
2080ti,gdn,last,fp32,fp16,64x16,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp16,64x4,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp16,64x8,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp16,8190x2047,500,3,0.0033727406369677432,0.00021663121728346716
2080ti,gdn,last,fp32,fp16,8190x512,500,3,0.29348958333333336,0.0017991842422934385
2080ti,gdn,last,fp32,fp32,1024x256,500,3,0.9685182291666667,0.0018894875768184934
2080ti,gdn,last,fp32,fp32,1024x256,1000,3,0.9686927083333333,0.0017654127745487713
2080ti,gdn,last,fp32,fp32,128x32,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp32,2048x512,500,3,0.4761106770833333,0.00477945539804586
2080ti,gdn,last,fp32,fp32,256x64,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp32,4096x1024,500,3,0.07272200520833333,0.00268613006609655
2080ti,gdn,last,fp32,fp32,512x128,1000,3,0.9999583333333333,1.327869664999381e-05
2080ti,gdn,last,fp32,fp32,512x64,1000,3,0.9992604166666667,4.830009633069798e-05
2080ti,gdn,last,fp32,fp32,64x16,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp32,64x4,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp32,64x8,1000,3,1.0,0.0
2080ti,gdn,last,fp32,fp32,8190x2047,500,3,0.0033779515142862994,0.00021474185010969397
2080ti,gdn,last,fp32,fp32,8190x512,500,3,0.29357812499999997,0.0018057637934137997
3090,flash,best,bf16,bf16,1024x256,500,3,0.95721875,0.008190757045387317
3090,flash,best,bf16,bf16,1024x256,1000,3,0.9578072916666667,0.008228251655023326
3090,flash,best,bf16,bf16,128x32,1000,3,0.9969479166666666,0.0010020595111513472
3090,flash,best,bf16,bf16,2048x512,500,3,0.75066796875,0.04814113097568274
3090,flash,best,bf16,bf16,256x64,1000,3,0.99828125,0.00014377264314416885
3090,flash,best,bf16,bf16,4096x1024,500,3,0.3758346354166667,0.055144590657078114
3090,flash,best,bf16,bf16,512x128,1000,3,0.9953359375,0.0007300682669991346
3090,flash,best,bf16,bf16,512x64,1000,3,0.9944322916666667,0.0005137011669140728
3090,flash,best,bf16,bf16,64x16,1000,3,1.0,0.0
3090,flash,best,bf16,bf16,64x4,1000,3,0.99975,0.0
