target,train_step,layer_idx,head_idx,block_idx,token_idx,input_hash,target_hash,top1_match,topk_exact_match,topk_overlap_ratio,ids_2080ti,ids_3090
inj-warmup-linear512-r2,64,1,1,16,10,d644ccabbb7508d5d47c7b231c4d3f82ee470f83,8271e9c7f7153b815a28ad2c27f6deb575833cad,False,False,0.0,"[50,20]","[18,48]"
inj-warmup-linear512-r2,64,1,1,16,12,d644ccabbb7508d5d47c7b231c4d3f82ee470f83,8271e9c7f7153b815a28ad2c27f6deb575833cad,True,False,0.5,"[20,40]","[20,16]"
inj-warmup-linear512-r2,64,1,1,16,14,d644ccabbb7508d5d47c7b231c4d3f82ee470f83,8271e9c7f7153b815a28ad2c27f6deb575833cad,True,True,1.0,"[50,38]","[50,38]"
inj-warmup-linear512-r2,96,1,0,16,0,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,True,1.0,"[39,21]","[39,21]"
inj-warmup-linear512-r2,96,1,0,16,2,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,False,0.5,"[39,5]","[39,21]"
inj-warmup-linear512-r2,96,1,0,16,4,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,False,False,1.0,"[18,32]","[32,18]"
inj-warmup-linear512-r2,96,1,0,16,6,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,False,0.5,"[39,50]","[39,52]"
inj-warmup-linear512-r2,96,1,0,16,8,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,False,0.5,"[39,52]","[39,50]"
inj-warmup-linear512-r2,96,1,0,16,10,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,True,1.0,"[39,57]","[39,57]"
inj-warmup-linear512-r2,96,1,0,16,12,2b16372207e3344688f093f9c78460489a485fa6,60c33dc441937d75a986217023e83ee5748a59f5,True,False,0.5,"[39,52]","[39,21]"
