experiment_id,machine,target,train_step,warmup_start_optimizer_step,warmup_end_optimizer_step,warmup_start_train_forward_step,warmup_end_train_forward_step,warmup_eval_policy,factor_mean,factor_layer0,factor_layer1,inject_ratio_mean,inject_ratio_layer0,inject_ratio_layer1,lambda_mean,loss
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,24,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050336405634880066,9.027445793151855
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,32,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05044883117079735,9.011229515075684
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,48,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050674136728048325,8.908380508422852
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,64,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050900038331747055,8.704910278320312
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,96,64,512,256,2048,scheduled,0.0714285746216774,,0.0714285746216774,0.010759582743048668,,0.010759582743048668,0.020421091467142105,8.528589248657227
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,128,64,512,256,2048,scheduled,0.1428571492433548,,0.1428571492433548,0.0818403884768486,,0.0818403884768486,0.033137306571006775,8.46129322052002
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,192,64,512,256,2048,scheduled,0.2857142984867096,,0.2857142984867096,0.5102598071098328,,0.5102598071098328,0.7012386322021484,8.411852836608887
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,256,64,512,256,2048,scheduled,0.4285714328289032,,0.4285714328289032,0.8729730248451233,,0.8729730248451233,0.9980530738830566,8.483966827392578
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,384,64,512,256,2048,scheduled,0.7142857313156128,,0.7142857313156128,1.003541111946106,,1.003541111946106,0.9724555611610413,3.7289395332336426
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,512,64,512,256,2048,scheduled,1.0,,1.0,0.6766910552978516,,0.6766910552978516,0.7510114312171936,2.0073976516723633
20260702-03-flash-vqg-injection-warmup-screen,2080ti,inj-warmup-silent64-linear512-r2,704,64,512,256,2048,scheduled,1.0,,1.0,0.7000941038131714,,0.7000941038131714,0.707938551902771,1.6216038465499878
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,0,0,0,0,0,scheduled,1.0,,1.0,0.14336538314819336,,0.14336538314819336,0.05000000819563866,9.038751602172852
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,1,0,0,0,0,scheduled,1.0,,1.0,0.14309410750865936,,0.14309410750865936,0.05000936985015869,9.038392066955566
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,2,0,0,0,0,scheduled,1.0,,1.0,0.14181698858737946,,0.14181698858737946,0.050025444477796555,9.03844928741455
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,4,0,0,0,0,scheduled,1.0,,1.0,0.13979536294937134,,0.13979536294937134,0.050080783665180206,9.038887023925781
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,8,0,0,0,0,scheduled,1.0,,1.0,0.13956321775913239,,0.13956321775913239,0.050291210412979126,9.039063453674316
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,16,0,0,0,0,scheduled,1.0,,1.0,0.16649450361728668,,0.16649450361728668,0.05093530938029289,9.036564826965332
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,24,0,0,0,0,scheduled,1.0,,1.0,0.19957053661346436,,0.19957053661346436,0.0510915070772171,9.028105735778809
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,32,0,0,0,0,scheduled,1.0,,1.0,0.24566256999969482,,0.24566256999969482,0.04952145367860794,9.011590003967285
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,48,0,0,0,0,scheduled,1.0,,1.0,0.07134921848773956,,0.07134921848773956,0.02352314256131649,8.9066743850708
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,64,0,0,0,0,scheduled,1.0,,1.0,0.006416141055524349,,0.006416141055524349,0.008535051718354225,8.702812194824219
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,96,0,0,0,0,scheduled,1.0,,1.0,0.02844303287565708,,0.02844303287565708,0.005306570790708065,8.52867603302002
20260702-03-flash-vqg-injection-warmup-screen,3090,baseline-r2,128,0,0,0,0,scheduled,1.0,,1.0,0.0247290451079607,,0.0247290451079607,0.0025590648874640465,8.4600248336792
