group,case,dtype,K,V,metric,max_abs,max_rel,official_abs_tol,official_rel_tol,official_passed,strict_passed,worst_index,ref_at_worst,tri_at_worst
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dbeta,0.005418363958597183,1.6635942459106445,0.02,0.2,True,False,"[0, 126, 1]",-0.038168080151081085,-0.04358644410967827
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dg,4.388764500617981e-05,0.33055686950683594,0.02,0.2,True,True,"[0, 127, 0]",0.05920397862792015,0.05916009098291397
large_k_cases,K1024-V64-fp32,torch.float32,1024,64,dh0,1.9594153854995966e-07,0.09868388622999191,0.005,0.05,True,True,"[0, 1, 815, 6]",-0.00023796487948857248,-0.00023816082102712244
large_k_cases,K512-V128-fp16,torch.float16,512,128,output,2.4586915969848633e-06,0.24969631433486938,0.008,0.08,True,True,"[0, 108, 0, 30]",0.00203840434551239,0.002040863037109375
large_k_cases,K512-V128-fp16,torch.float16,512,128,final_state,2.9247254133224487e-05,0.9257346391677856,0.008,0.08,True,True,"[0, 0, 201, 119]",-0.036281052976846695,-0.03625180572271347
large_k_cases,K512-V128-fp16,torch.float16,512,128,dq,9.5367431640625e-07,0.4172325134277344,0.008,0.08,True,True,"[0, 5, 0, 140]",0.00119781494140625,0.0011987686157226562
large_k_cases,K512-V128-fp16,torch.float16,512,128,dk,6.103515625e-05,0.6556510925292969,0.008,0.08,True,True,"[0, 127, 1, 478]",-0.06640625,-0.06646728515625
large_k_cases,K512-V128-fp16,torch.float16,512,128,dv,6.103515625e-05,0.476837158203125,0.008,0.08,True,True,"[0, 127, 0, 7]",-0.07330322265625,-0.0732421875
large_k_cases,K512-V128-fp16,torch.float16,512,128,dbeta,3.255903720855713e-05,0.08375342935323715,0.02,0.2,True,True,"[0, 127, 1]",-0.18603244423866272,-0.18599988520145416
large_k_cases,K512-V128-fp16,torch.float16,512,128,dg,9.922310709953308e-06,0.07938893884420395,0.02,0.2,True,True,"[0, 127, 1]",-0.016841843724250793,-0.016851766034960747
large_k_cases,K512-V128-fp16,torch.float16,512,128,dh0,3.2014213502407074e-07,0.06738204509019852,0.008,0.08,True,True,"[0, 0, 154, 16]",-0.0008303642389364541,-0.0008306843810714781
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,output,2.3096799850463867e-06,0.21685263514518738,0.008,0.08,True,True,"[0, 4, 0, 52]",-0.0019698888063430786,-0.001972198486328125
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,final_state,1.4588236808776855e-05,0.903292179107666,0.008,0.08,True,True,"[0, 1, 1008, 52]",0.035043541342020035,0.03502895310521126
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dq,4.76837158203125e-07,0.17881393432617188,0.008,0.08,True,True,"[0, 27, 1, 96]",0.0005121231079101562,0.0005116462707519531
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dk,6.103515625e-05,0.5384615659713745,0.008,0.08,True,True,"[0, 127, 1, 216]",-0.079833984375,-0.07989501953125
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dv,0.0001220703125,0.38410595059394836,0.008,0.08,True,True,"[0, 127, 0, 29]",-0.15576171875,-0.1558837890625
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dbeta,1.8989667296409607e-05,0.10077065229415894,0.02,0.2,True,True,"[0, 127, 1]",0.018061183393001556,0.018042193725705147
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dg,2.3927539587020874e-05,0.05549595132470131,0.02,0.2,True,True,"[0, 127, 0]",-0.03383173421025276,-0.03380780667066574
large_k_cases,K1024-V64-fp16,torch.float16,1024,64,dh0,1.8131686374545097e-07,0.06247483938932419,0.008,0.08,True,True,"[0, 0, 642, 11]",0.0006372734205797315,0.0006374547374434769
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,output,2.589775249361992e-06,0.193756565451622,0.005,0.05,True,,"[0, 58, 0, 18]",-0.0012695994228124619,-0.0012670096475630999
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,final_state,2.33575701713562e-05,1.1133627891540527,0.005,0.05,True,,"[0, 0, 26, 58]",0.02293647825717926,0.022913120687007904
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dq,1.616310328245163e-06,0.12767581641674042,0.005,0.05,True,,"[0, 34, 0, 50]",0.0010503811063244939,0.0010487647959962487
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dk,0.001509188674390316,1.984317421913147,0.008,0.08,True,,"[0, 63, 0, 3]",0.008922254666686058,0.010431443341076374
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dv,6.466731429100037e-05,0.12821362912654877,0.005,0.05,True,,"[0, 63, 0, 47]",-0.04004908725619316,-0.03998441994190216
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dbeta,0.0010715601965785027,0.6801936030387878,0.02,0.2,True,,"[0, 63, 0]",-0.015306184068322182,-0.014234623871743679
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dg,1.6352161765098572e-05,0.04595211148262024,0.02,0.2,True,,"[0, 63, 0]",0.02497381530702114,0.024957463145256042
regression_cases,regression-K64-V64-fp32,torch.float32,64,64,dh0,1.3050739653408527e-06,0.06413871049880981,0.005,0.05,True,,"[0, 0, 18, 61]",0.0009241228690370917,0.0009228177950717509
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,output,3.5655684769153595e-06,0.2098441869020462,0.005,0.05,True,,"[0, 39, 0, 11]",-0.0018530234228819609,-0.0018494578544050455
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,final_state,3.785640001296997e-05,0.5138608813285828,0.005,0.05,True,,"[0, 0, 89, 3]",0.04002470523118973,0.03998684883117676
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dq,1.3812677934765816e-06,0.13291583955287933,0.005,0.05,True,,"[0, 36, 0, 46]",0.0010786369675770402,0.0010772556997835636
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dk,0.003021785756573081,1.9474315643310547,0.008,0.08,True,,"[0, 63, 0, 47]",-0.005605434067547321,-0.0025836483109742403
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dv,7.591024041175842e-05,0.19273778796195984,0.005,0.05,True,,"[0, 63, 0, 40]",-0.06078796461224556,-0.0607120543718338
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dbeta,0.0008672336116433144,1.4727997779846191,0.02,0.2,True,,"[0, 63, 0]",0.009715119376778603,0.010582352988421917
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dg,2.468004822731018e-06,0.04003061726689339,0.02,0.2,True,,"[0, 62, 0]",0.003836618736386299,0.003834150731563568
regression_cases,regression-K128-V64-fp32,torch.float32,128,64,dh0,1.381326001137495e-06,0.08538199961185455,0.005,0.05,True,,"[0, 0, 40, 10]",-0.0009386030142195523,-0.0009372216882184148
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,output,4.825647920370102e-06,0.32771793007850647,0.005,0.05,True,,"[0, 40, 0, 0]",0.0024153306148946285,0.0024105049669742584
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,final_state,3.246963024139404e-05,0.7316116690635681,0.005,0.05,True,,"[0, 0, 6, 8]",-0.026828696951270103,-0.02679622732102871
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dq,1.1005322448909283e-06,0.2530038058757782,0.005,0.05,True,,"[0, 12, 0, 102]",-0.0005363221280276775,-0.0005352215957827866
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dk,0.0036966372281312943,1.9965554475784302,0.008,0.08,True,,"[0, 63, 0, 143]",-0.004252907820045948,-0.007949545048177242
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dv,0.00014719367027282715,0.1691097915172577,0.005,0.05,True,,"[0, 63, 0, 12]",-0.11415877938270569,-0.11401158571243286
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dbeta,0.0008674934506416321,1.5856059789657593,0.02,0.2,True,,"[0, 63, 0]",0.008257823996245861,0.009125317446887493
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dg,1.377984881401062e-05,0.1575760394334793,0.02,0.2,True,,"[0, 63, 0]",0.015688493847846985,0.015674713999032974
regression_cases,regression-K256-V64-fp32,torch.float32,256,64,dh0,7.328344509005547e-07,0.06044706329703331,0.005,0.05,True,,"[0, 0, 44, 45]",-0.000728380458895117,-0.0007276476244442165
