model,seed,checkpoint_role,slice,accuracy_2080ti,accuracy_3090,accuracy_delta_3090_minus_2080ti,dataset_hash_2080ti,dataset_hash_3090,dataset_hash_match
gdn,123,best,1024x256,0.967875,0.97,0.0021249999999999325,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
gdn,123,best,2048x512,0.48097265625,0.47810546875,-0.0028671875000000346,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
gdn,123,best,4096x1024,0.075884765625,0.073572265625,-0.002312500000000009,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
gdn,123,best,8190x512,0.2957578125,0.295875,0.00011718750000000444,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
gdn,123,best,8190x2047,0.003668783585735222,0.0035251587689301414,-0.00014362481680508079,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
gdn,124,best,1024x256,0.96659375,0.9668515625,0.00025781250000000977,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
gdn,124,best,2048x512,0.46961328125,0.47482421875,0.0052109375000000124,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
gdn,124,best,4096x1024,0.072962890625,0.075236328125,0.002273437500000003,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
gdn,124,best,8190x512,0.2913359375,0.29505859375,0.0037226562500000115,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
gdn,124,best,8190x2047,0.0033082559843673667,0.0036277479237909133,0.00031949193942354664,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
gdn,125,best,1024x256,0.9710859375,0.969359375,-0.0017265625000000284,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,True
gdn,125,best,2048x512,0.47774609375,0.48364453125,0.00589843750000002,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,True
gdn,125,best,4096x1024,0.069318359375,0.076255859375,0.006937499999999999,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,True
gdn,125,best,8190x512,0.293640625,0.30476171875,0.011121093750000033,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,True
gdn,125,best,8190x2047,0.0031568148510014655,0.0036873473375671714,0.0005305324865657059,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,True
