source_id,arm,seed,checkpoint_role,checkpoint_model_state_sha256,case,input_seq_len,num_kv_pairs,num_examples,batch_size,accuracy,loss,dataset_hash,wall_clock_sec
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,512x128-n1000,512,128,1000,64,0.9879296875,0.25419489260017875,042872131264d4b41ea03a6cdbf7733e3e4301ca773349ec9434d827bd9c4a5e,8.78113202098757
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,1024x256-n1000,1024,256,1000,64,0.94423828125,0.6811150780916214,4e659938a27b5e33a3d99d261f1b2680fdeb1cd8c74363ea5a71ac4d1c36296c,9.638919605873525
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,1024x256-n500,1024,256,500,64,0.944109375,0.6817815853357315,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,8.33861670922488
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,2048x512-n500,2048,512,500,32,0.7749453125,1.7074017317295074,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,10.03753590490669
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,4096x1024-n500,4096,1024,500,16,0.4510390625,3.355859118938446,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,13.864031745120883
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,8190x512-n500,8190,512,500,8,0.66846484375,2.2647231640815737,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,25.59441337734461
3090-factor-block-s123-bf16-best,factor-block,123,best,0cc6e601f3f96b51ffaf3c642d2604ab430984e282a9673f995284d05c8246a2,8190x2047-n500,8190,2047,500,8,0.17323205012083054,5.212796078681945,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,25.796817389316857
3090-factor-block-s123-bf16-last,factor-block,123,last,14be05a2b28993c92e811dda236a4e37a9e64efd46c136d04c44f4fc547901cb,64x4-n1000,64,4,1000,64,1.0,0.004448547031497583,59caf02282ef418abc77da09411e4dd086ec2be1f3a8df5bef214a3311d9fead,7.708749280311167
3090-factor-block-s123-bf16-last,factor-block,123,last,14be05a2b28993c92e811dda236a4e37a9e64efd46c136d04c44f4fc547901cb,64x8-n1000,64,8,1000,64,1.0,0.0042369197476655246,712f2ed078441018d5e5105403984e30f54b89ce85313998e4ffaed260977d1b,7.905491574667394
3090-factor-block-s123-bf16-last,factor-block,123,last,14be05a2b28993c92e811dda236a4e37a9e64efd46c136d04c44f4fc547901cb,64x16-n1000,64,16,1000,64,0.9999375,0.005165889553027227,7298e6d64228dc9b8e75d90a58ceed496d8665e6ebf015689030e2593ffbf970,8.0181436939165
3090-factor-block-s123-bf16-last,factor-block,123,last,14be05a2b28993c92e811dda236a4e37a9e64efd46c136d04c44f4fc547901cb,128x32-n1000,128,32,1000,64,1.0,0.0076890473775565625,a23066631270a2b388cbcbb247516054c1ccd018cd0270e1167315940e48a0a9,8.463660752400756
