run_id,seed,metric,value,epoch,step,timestamp
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/input_seq_len/accuracy-1024,0.615984375,8,2823,2026-05-26T19:47:00.373293+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-4,0.9995,8,2823,2026-05-26T19:47:00.371858+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-8,0.999875,8,2823,2026-05-26T19:47:00.372140+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-16,1.0,8,2823,2026-05-26T19:47:00.372232+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-32,1.0,8,2823,2026-05-26T19:47:00.372306+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-64,0.9988203125,8,2823,2026-05-26T19:47:00.372535+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-128,0.9888203125,8,2823,2026-05-26T19:47:00.372653+00:00
banked-h2-b4-k256-v64-sharedv-s125-d123-b64-ga4-fp32-noearly4ep,125,valid/num_kv_pairs/accuracy-256,0.615984375,8,2823,2026-05-26T19:47:00.372759+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-64x4,1.0,8,2823,2026-05-26T20:08:13.921916+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-64x8,0.999875,8,2823,2026-05-26T20:08:13.922027+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-64x16,1.0,8,2823,2026-05-26T20:08:13.921827+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-128x32,1.0,8,2823,2026-05-26T20:08:13.921460+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-256x64,1.0,8,2823,2026-05-26T20:08:13.921552+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-512x64,0.99871875,8,2823,2026-05-26T20:08:13.921736+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-512x128,0.999984375,8,2823,2026-05-26T20:08:13.921645+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/mqar_case/accuracy-1024x256,0.99187890625,8,2823,2026-05-26T20:08:13.921365+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/input_seq_len/accuracy-64,0.9999583333333333,8,2823,2026-05-26T20:08:13.920786+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/input_seq_len/accuracy-128,1.0,8,2823,2026-05-26T20:08:13.920919+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/input_seq_len/accuracy-256,1.0,8,2823,2026-05-26T20:08:13.921045+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/input_seq_len/accuracy-512,0.9993515625,8,2823,2026-05-26T20:08:13.921173+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/input_seq_len/accuracy-1024,0.99187890625,8,2823,2026-05-26T20:08:13.921269+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-4,1.0,8,2823,2026-05-26T20:08:13.919791+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-8,0.999875,8,2823,2026-05-26T20:08:13.919863+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-16,1.0,8,2823,2026-05-26T20:08:13.920123+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-32,1.0,8,2823,2026-05-26T20:08:13.920194+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-64,0.999359375,8,2823,2026-05-26T20:08:13.920259+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-128,0.999984375,8,2823,2026-05-26T20:08:13.920438+00:00
banked-h2-b4-k256-v64-sharedv-s126-d123-b64-ga4-fp32-noearly4ep,126,valid/num_kv_pairs/accuracy-256,0.99187890625,8,2823,2026-05-26T20:08:13.920590+00:00
