config,original_config,run_id,gpu,seed,data_seed,cb,rank,dynamic_capacity,relative_to_gdn,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice_name,metric,value
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.99925
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.973734375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,2,epoch_end,1.0,0,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,0.999625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.94915625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99275
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.98542578125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.94915625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.99609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99275
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9830859375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.987765625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.9996875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,0.99975
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.9830859375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.9996875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.94915625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.99609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,0.99975
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9902578125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,3,mid_epoch,1.5,1,num_kv_pairs,8,valid/num_kv_pairs/accuracy-8,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.95682421875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.995125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.992984375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.987
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.95682421875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.995125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.992984375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.985609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.988390625
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,64x16,valid/mqar_case/accuracy-64x16,0.9995
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,64x4,valid/mqar_case/accuracy-64x4,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,mqar_case,64x8,valid/mqar_case/accuracy-64x8,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,128,valid/num_kv_pairs/accuracy-128,0.985609375
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,16,valid/num_kv_pairs/accuracy-16,0.9995
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,256,valid/num_kv_pairs/accuracy-256,0.95682421875
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,32,valid/num_kv_pairs/accuracy-32,0.995125
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,4,valid/num_kv_pairs/accuracy-4,1.0
cb256-r8-s125-d123-repeat,cb256-r8-s125,gd-r8-wk4-mu01-t025-cb256-s125-d123-noearly4ep-repeat-gpu1,1,125,123,256,8,262144,16x,4,epoch_end,2.0,1,num_kv_pairs,64,valid/num_kv_pairs/accuracy-64,0.9906875
