model_label,variant,slice_seq_len,slice_num_kv_pairs,distance_bucket,n,accuracy,full_accuracy,delta_vs_full,relative_to_full,ci95_low,ci95_high
cb64-r16-s123,local_only,1024,256,129-256,2656,0.0003765060,0.9608433735,-0.9604668675,0.0003918495,0.0000000000,0.0011143189
cb64-r16-s123,local_only,1024,256,257-512,67913,0.0002355955,0.9669724500,-0.9667368545,0.0002436424,0.0001201673,0.0003510238
cb64-r16-s123,local_only,1024,256,513-1024,57429,0.0002089537,0.9731842797,-0.9729753260,0.0002147113,0.0000907394,0.0003271680
cb64-r16-s123,local_only,2048,512,129-256,12,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
cb64-r16-s123,local_only,2048,512,257-512,5327,0.0001877229,0.7584006007,-0.7582128778,0.0002475247,0.0000000000,0.0005556253
cb64-r16-s123,local_only,2048,512,513-1024,135480,0.0002214349,0.8131606141,-0.8129391792,0.0002723139,0.0001422042,0.0003006656
cb64-r16-s123,local_only,2048,512,1025-2048,115181,0.0002691416,0.8367525894,-0.8364834478,0.0003216502,0.0001744094,0.0003638738
cb64-r16-s123,local_only,4096,512,33-64,1,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000
cb64-r16-s123,local_only,4096,512,65-128,47,0.0000000000,0.7021276596,-0.7021276596,0.0000000000,0.0000000000,0.0000000000
cb64-r16-s123,local_only,4096,512,129-256,1188,0.0008417508,0.7845117845,-0.7836700337,0.0010729613,0.0000000000,0.0024908880
cb64-r16-s123,local_only,4096,512,257-512,11677,0.0002569153,0.7814507151,-0.7811937998,0.0003287671,0.0000000000,0.0005476050
cb64-r16-s123,local_only,4096,512,513-1024,80946,0.0001853087,0.8366194747,-0.8364341660,0.0002214970,0.0000915383,0.0002790792
cb64-r16-s123,local_only,4096,512,1025-2048,100585,0.0002684297,0.7995923846,-0.7993239549,0.0003357082,0.0001671910,0.0003696684
cb64-r16-s123,local_only,4096,512,2049-4096,61556,0.0002436806,0.6762297745,-0.6759860939,0.0003603518,0.0001203762,0.0003669849
cb64-r16-s123,local_only,4096,1024,257-512,9,0.0000000000,0.2222222222,-0.2222222222,0.0000000000,0.0000000000,0.0000000000
cb64-r16-s123,local_only,4096,1024,513-1024,10403,0.0003845045,0.3995001442,-0.3991156397,0.0009624640,0.0000077625,0.0007612464
cb64-r16-s123,local_only,4096,1024,1025-2048,270920,0.0002214676,0.4549055072,-0.4546840396,0.0004868431,0.0001654348,0.0002775004
cb64-r16-s123,local_only,4096,1024,2049-4096,230668,0.0002254322,0.4885289680,-0.4883035358,0.0004614510,0.0001641660,0.0002866985
cb64-r16-s123,local1,1024,256,65-128,2,0.5000000000,0.5000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
cb64-r16-s123,local1,1024,256,129-256,2656,0.9582078313,0.9608433735,-0.0026355422,0.9972570533,0.9505972234,0.9658184392
cb64-r16-s123,local1,1024,256,257-512,67913,0.9660447926,0.9669724500,-0.0009276574,0.9990406579,0.9646826222,0.9674069630
cb64-r16-s123,local1,1024,256,513-1024,57429,0.9723658779,0.9731842797,-0.0008184018,0.9991590475,0.9710251886,0.9737065671
cb64-r16-s123,local1,2048,512,129-256,12,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
cb64-r16-s123,local1,2048,512,257-512,5327,0.7587760466,0.7584006007,0.0003754459,1.0004950496,0.7472870594,0.7702650337
cb64-r16-s123,local1,2048,512,513-1024,135480,0.8108576912,0.8131606141,-0.0023029229,0.9971679360,0.8087723115,0.8129430709
cb64-r16-s123,local1,2048,512,1025-2048,115181,0.8341566751,0.8367525894,-0.0025959143,0.9968976322,0.8320086544,0.8363046958
cb64-r16-s123,local1,4096,512,33-64,1,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000
cb64-r16-s123,local1,4096,512,65-128,47,0.7021276596,0.7021276596,0.0000000000,1.0000000000,0.5713810993,0.8328742199
cb64-r16-s123,local1,4096,512,129-256,1188,0.7760942761,0.7845117845,-0.0084175084,0.9892703863,0.7523894000,0.7997991522
cb64-r16-s123,local1,4096,512,257-512,11677,0.7769975165,0.7814507151,-0.0044531986,0.9943013699,0.7694473749,0.7845476581
cb64-r16-s123,local1,4096,512,513-1024,80946,0.8334568725,0.8366194747,-0.0031626022,0.9962197841,0.8308902423,0.8360235027
cb64-r16-s123,local1,4096,512,1025-2048,100585,0.7968285530,0.7995923846,-0.0027638316,0.9965434493,0.7943419684,0.7993151376
cb64-r16-s123,local1,4096,512,2049-4096,61556,0.6737442329,0.6762297745,-0.0024855416,0.9963244127,0.6700404331,0.6774480327
cb64-r16-s123,local1,4096,1024,257-512,9,0.2222222222,0.2222222222,0.0000000000,1.0000000000,0.0000000000,0.4938388325
cb64-r16-s123,local1,4096,1024,513-1024,10403,0.3986350091,0.3995001442,-0.0008651351,0.9978344561,0.3892262238,0.4080437945
cb64-r16-s123,local1,4096,1024,1025-2048,270920,0.4531005463,0.4549055072,-0.0018049609,0.9960322290,0.4512260414,0.4549750512
cb64-r16-s123,local1,4096,1024,2049-4096,230668,0.4862876515,0.4885289680,-0.0022413165,0.9954121114,0.4842479387,0.4883273643
cb64-r16-s123,local4,1024,256,65-128,2,0.5000000000,0.5000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000
cb64-r16-s123,local4,1024,256,129-256,2656,0.9664909639,0.9608433735,0.0056475904,1.0058777430,0.9596467763,0.9733351514
cb64-r16-s123,local4,1024,256,257-512,67913,0.9697995965,0.9669724500,0.0028271465,1.0029237095,0.9685124530,0.9710867401
cb64-r16-s123,local4,1024,256,513-1024,57429,0.9753608804,0.9731842797,0.0021766007,1.0022365761,0.9740929783,0.9766287824
cb64-r16-s123,local4,2048,512,129-256,12,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
cb64-r16-s123,local4,2048,512,257-512,5327,0.7675990238,0.7584006007,0.0091984231,1.0121287128,0.7562567297,0.7789413179
cb64-r16-s123,local4,2048,512,513-1024,135480,0.8186595807,0.8131606141,0.0054989666,1.0067624606,0.8166078637,0.8207112978
cb64-r16-s123,local4,2048,512,1025-2048,115181,0.8411022651,0.8367525894,0.0043496757,1.0051982817,0.8389909702,0.8432135601
cb64-r16-s123,local4,4096,512,33-64,1,0.0000000000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000
cb64-r16-s123,local4,4096,512,65-128,47,0.4893617021,0.7021276596,-0.2127659575,0.6969696969,0.3464463699,0.6322770344
cb64-r16-s123,local4,4096,512,129-256,1188,0.7946127946,0.7845117845,0.0101010101,1.0128755365,0.7716400798,0.8175855094
cb64-r16-s123,local4,4096,512,257-512,11677,0.7875310439,0.7814507151,0.0060803288,1.0077808219,0.7801115888,0.7949504991
cb64-r16-s123,local4,4096,512,513-1024,80946,0.8425493539,0.8366194747,0.0059298792,1.0070879048,0.8400401944,0.8450585134
cb64-r16-s123,local4,4096,512,1025-2048,100585,0.8042749913,0.7995923846,0.0046826067,1.0058562422,0.8018230227,0.8067269599
cb64-r16-s123,local4,4096,512,2049-4096,61556,0.6806160244,0.6762297745,0.0043862499,1.0064863306,0.6769327971,0.6842992517
cb64-r16-s123,local4,4096,1024,257-512,9,0.2222222222,0.2222222222,0.0000000000,1.0000000000,0.0000000000,0.4938388325
cb64-r16-s123,local4,4096,1024,513-1024,10403,0.4009420360,0.3995001442,0.0014418918,1.0036092397,0.3915241811,0.4103598908
cb64-r16-s123,local4,4096,1024,1025-2048,270920,0.4585634136,0.4549055072,0.0036579064,1.0080410247,0.4566870843,0.4604397428
cb64-r16-s123,local4,4096,1024,2049-4096,230668,0.4920708551,0.4885289680,0.0035418871,1.0072501066,0.4900306314,0.4941110788
